project_id,graph_anomaly_score,graph_anomaly_percentile,is_graph_anomaly,clique_community_id,pair_project_count,triad_project_count,agency_contractor_hhi,corporate_ties_composite,contractor_degree,baseline1_score,primary_reason,secondary_reason,tertiary_reason
MPLADS-000042,20.45,32.68,0,18,1,1,0.25,0,-0.67,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000043,65.1,89.72,0,26,1,1,0.125,0,1.83,0.0,HIGH_CONSTITUENCY_AGENCY_CAPTURE,PRE_AWARD_GOVERNANCE_INSTABILITY,NONE
MPLADS-000044,50.05,77.0,0,27,1,1,0.1429,0,0.33,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000045,46.66,73.02,0,20,1,1,0.3333,0,-0.67,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000046,3.86,3.48,0,30,1,1,0.25,0,0.0,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000047,12.35,17.92,0,2,1,1,0.1429,0,0.0,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000048,12.32,17.88,0,3,1,1,0.1667,0,-0.17,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000049,23.72,38.32,0,26,1,1,0.25,0,0.33,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000050,9.93,13.6,0,20,1,1,0.125,0,-0.33,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000051,35.28,57.62,0,6,1,1,0.1111,0,-0.33,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000052,50.59,77.64,0,1,1,1,0.2,1,1.0,35.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000053,10.65,14.94,0,21,1,1,0.25,0,-0.17,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000054,71.62,94.54,0,26,1,1,0.25,1,1.33,35.0,CORPORATE_COLLUSION_NETWORK,HIGH_CONSTITUENCY_AGENCY_CAPTURE,PRE_AWARD_GOVERNANCE_INSTABILITY
MPLADS-000055,11.0,15.52,0,10,1,1,0.2,0,-0.33,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000056,27.15,44.26,0,27,1,1,0.25,0,-0.33,15.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000057,23.69,38.26,0,9,1,1,0.25,0,0.33,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000058,10.29,14.24,0,6,1,1,0.25,0,0.0,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000059,70.85,94.06,0,8,1,1,0.2,1,2.67,35.0,CORPORATE_COLLUSION_NETWORK,NONE,NONE
MPLADS-000060,4.88,4.96,0,7,1,1,0.25,0,0.33,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000061,10.82,15.24,0,10,1,1,0.2,0,-0.5,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000062,65.75,90.16,0,26,1,1,0.1667,1,1.67,35.0,CORPORATE_COLLUSION_NETWORK,HIGH_CONSTITUENCY_AGENCY_CAPTURE,HUB_CENTRALITY_SPIKE
MPLADS-000063,38.55,62.74,0,26,1,1,0.1429,0,-0.33,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000064,12.22,17.68,0,24,1,1,0.25,0,-0.17,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000065,42.3,67.72,0,34,1,1,0.2,0,-0.5,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000066,41.06,66.08,0,32,1,1,0.1111,0,-0.17,15.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000067,4.3,4.1,0,30,1,1,0.1667,0,0.0,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000068,40.62,65.48,0,24,1,1,0.5,0,-1.0,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000069,25.75,41.84,0,27,1,1,0.3333,0,0.0,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000070,14.68,22.18,0,12,1,1,0.3333,0,-0.5,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000071,63.0,88.36,0,5,1,1,0.2,0,1.33,0.0,PRE_AWARD_GOVERNANCE_INSTABILITY,HIGH_CONSTITUENCY_AGENCY_CAPTURE,NONE
MPLADS-000072,4.64,4.54,0,3,1,1,0.2,0,0.0,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000073,26.71,43.46,0,36,1,1,0.1429,0,0.33,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000074,36.83,60.08,0,22,1,1,0.25,0,-0.83,15.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000075,34.24,55.94,0,24,1,1,0.1667,0,-0.83,15.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000076,48.89,75.74,0,17,1,1,0.1667,0,0.67,15.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000077,50.41,77.4,0,25,1,1,0.25,0,-0.5,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000078,12.07,17.38,0,1,1,1,0.1667,0,0.17,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000079,27.32,44.58,0,27,1,1,0.3333,0,0.17,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000080,24.21,39.18,0,21,1,1,0.3333,0,0.0,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000081,35.4,57.78,0,26,1,1,0.25,0,0.17,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000082,4.71,4.66,0,35,1,1,0.2,0,0.0,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000083,18.69,29.46,0,27,1,1,0.1429,0,-0.67,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000084,6.67,7.92,0,35,1,1,0.2,0,-0.5,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000085,46.4,72.66,0,26,1,1,0.1667,0,0.0,15.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000086,26.96,43.94,0,1,1,1,0.3333,0,0.17,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000087,0.08,0.08,0,12,1,1,0.2,0,-0.5,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000088,4.34,4.16,0,15,1,1,0.2222,0,-0.5,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000089,49.1,76.02,0,3,1,1,0.3333,0,-0.67,15.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000090,21.24,34.02,0,32,1,1,0.5,0,-0.33,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000091,8.63,11.26,0,12,1,1,0.2,0,-0.33,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000092,47.02,73.52,0,27,1,1,1.0,0,-0.33,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000093,47.41,73.98,0,5,1,1,0.124,0,0.33,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000094,30.82,50.46,0,0,1,1,0.5,0,0.17,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000095,27.55,45.0,0,16,1,1,0.2,0,-0.33,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000096,47.64,74.24,0,26,1,1,0.2,0,-0.33,15.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000097,53.84,81.26,0,13,1,1,0.25,0,-0.83,15.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000098,59.91,86.44,0,16,1,1,1.0,0,0.0,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000099,34.44,56.24,0,25,1,1,0.1111,0,-0.17,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000100,62.61,88.04,0,19,1,1,0.1667,0,0.17,0.0,PRE_AWARD_GOVERNANCE_INSTABILITY,NONE,NONE
MPLADS-000101,3.02,2.5,0,31,1,1,0.1667,0,0.0,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000102,36.84,60.1,0,10,1,1,0.5,0,-0.83,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000103,4.35,4.18,0,6,1,1,0.2,0,0.0,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000104,53.57,80.96,0,34,1,1,0.1667,0,-0.83,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000105,12.68,18.5,0,30,1,1,0.1429,0,-0.33,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000106,46.89,73.32,0,35,1,1,0.1,0,0.0,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000107,49.18,76.16,0,2,1,1,0.125,0,0.67,15.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000108,14.96,22.68,0,25,1,1,0.2,0,-0.17,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000109,44.35,70.26,0,28,1,1,0.1667,0,-0.5,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000110,21.31,34.16,0,12,1,1,0.3333,0,-0.5,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000111,70.41,93.8,0,10,1,1,0.25,2,1.0,50.0,CORPORATE_COLLUSION_NETWORK,RECURRING_EXCLUSIVE_PAIRING,NONE
MPLADS-000112,67.4,91.5,0,14,2,1,0.2222,0,-0.33,15.0,RECURRING_EXCLUSIVE_PAIRING,HIGH_CONSTITUENCY_AGENCY_CAPTURE,NONE
MPLADS-000113,67.6,91.66,0,2,1,1,0.125,1,0.67,35.0,CORPORATE_COLLUSION_NETWORK,HIGH_CONSTITUENCY_AGENCY_CAPTURE,PRE_AWARD_GOVERNANCE_INSTABILITY
MPLADS-000114,1.28,0.66,0,24,1,1,0.1667,0,-0.17,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000115,45.13,71.16,0,18,1,1,0.3333,0,-0.33,15.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000116,17.44,27.18,0,32,1,1,0.125,0,0.0,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000117,6.32,7.34,0,27,1,1,0.25,0,-0.17,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000118,26.15,42.5,0,2,1,1,0.1667,0,0.5,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000119,32.72,53.4,0,24,1,1,0.2,0,0.0,15.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000120,19.47,30.9,0,18,1,1,0.25,0,-0.67,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000121,0.52,0.2,0,14,1,1,0.1667,0,0.33,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000122,12.88,18.88,0,9,1,1,0.2,0,1.0,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000123,19.9,31.68,0,11,1,1,0.1429,0,0.0,15.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000124,51.02,78.12,0,35,1,1,0.25,0,-0.67,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000125,16.79,25.98,0,6,1,1,0.1667,0,-0.33,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000126,31.5,51.52,0,35,1,1,0.1667,0,-0.83,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000127,60.24,86.64,0,29,1,1,0.25,1,1.0,35.0,CORPORATE_COLLUSION_NETWORK,HIGH_CONSTITUENCY_AGENCY_CAPTURE,PRE_AWARD_GOVERNANCE_INSTABILITY
MPLADS-000128,37.49,61.12,0,34,1,1,0.2,0,0.33,15.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000129,87.77,99.14,1,34,1,1,0.25,2,4.33,35.0,CORPORATE_COLLUSION_NETWORK,HIGH_CONSTITUENCY_AGENCY_CAPTURE,PRE_AWARD_GOVERNANCE_INSTABILITY
MPLADS-000130,52.0,79.28,0,36,1,1,0.25,0,0.67,15.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000131,32.17,52.54,0,34,1,1,0.125,0,-0.17,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000132,34.26,55.96,0,1,1,1,0.28,0,0.5,15.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000133,30.3,49.62,0,9,1,1,0.25,0,0.33,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000134,63.7,88.72,0,9,1,1,1.0,0,-0.67,15.0,RECURRING_EXCLUSIVE_PAIRING,HUB_CENTRALITY_SPIKE,NONE
MPLADS-000135,8.07,10.24,0,7,1,1,0.2,0,-0.17,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000136,3.58,3.14,0,1,1,1,0.1667,0,0.33,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000137,70.14,93.58,0,24,1,1,0.1667,2,2.17,35.0,CORPORATE_COLLUSION_NETWORK,NONE,NONE
MPLADS-000138,22.52,36.28,0,32,1,1,0.3333,0,-0.67,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000139,15.34,23.32,0,7,1,1,0.1429,0,0.33,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000140,46.99,73.46,0,23,1,1,0.1,0,-0.33,15.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000141,12.74,18.6,0,20,1,1,0.25,0,-0.67,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000142,38.14,62.16,0,20,1,1,0.5,0,0.0,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000143,49.04,75.96,0,13,1,1,0.125,0,-0.5,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000144,27.71,45.22,0,34,1,1,0.3333,0,-0.17,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000145,55.24,82.66,0,21,1,1,0.25,0,-1.5,15.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000146,11.2,15.86,0,11,1,1,0.3333,0,0.17,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000147,10.79,15.18,0,33,1,1,0.3333,0,-0.17,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000148,37.13,60.58,0,28,1,1,0.25,0,0.67,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000149,0.91,0.38,0,2,1,1,0.25,0,0.0,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000150,6.11,6.98,0,11,1,1,0.1429,0,-0.33,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000151,19.56,31.06,0,7,1,1,0.1429,0,0.0,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000152,57.59,84.78,0,9,1,1,0.2,0,-0.83,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000153,46.85,73.24,0,33,1,1,0.5,0,-0.33,15.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000154,18.35,28.84,0,23,1,1,0.25,0,-0.33,15.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000155,54.49,81.9,0,24,1,1,0.1111,0,0.17,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000156,33.29,54.36,0,29,1,1,0.3333,0,-1.0,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000157,3.07,2.54,0,14,1,1,0.1667,0,0.0,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000158,67.54,91.62,0,14,1,1,0.2,1,3.0,35.0,CORPORATE_COLLUSION_NETWORK,NONE,NONE
MPLADS-000159,30.58,50.1,0,18,1,1,0.1667,0,-0.17,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000160,42.71,68.26,0,26,1,1,0.1667,0,-0.33,15.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000161,41.1,66.14,0,34,1,1,0.3333,0,-0.83,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000162,30.34,49.68,0,0,1,1,0.1667,0,-0.83,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000163,9.23,12.34,0,14,1,1,0.2,0,0.17,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000164,44.77,70.7,0,33,1,1,0.1111,0,0.17,15.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000165,13.46,19.94,0,14,1,1,0.2,0,0.67,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000166,54.04,81.44,0,34,1,1,0.124,0,1.17,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000167,22.51,36.26,0,35,1,1,0.3333,0,-0.83,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000168,30.37,49.74,0,34,1,1,0.25,0,0.0,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000169,7.64,9.46,0,14,1,1,0.1429,0,0.0,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000170,24.15,39.08,0,26,1,1,0.25,0,-0.17,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000171,67.51,91.58,0,9,1,1,0.1667,1,2.33,35.0,CORPORATE_COLLUSION_NETWORK,PRE_AWARD_GOVERNANCE_INSTABILITY,NONE
MPLADS-000172,11.52,16.46,0,8,1,1,0.2,0,0.0,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000173,37.38,60.96,0,24,1,1,0.25,0,0.33,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000174,37.94,61.84,0,34,1,1,0.5,0,0.67,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000175,69.56,93.12,0,14,2,1,0.2222,0,-0.33,15.0,RECURRING_EXCLUSIVE_PAIRING,HIGH_CONSTITUENCY_AGENCY_CAPTURE,NONE
MPLADS-000176,88.58,99.16,1,18,1,1,0.3333,2,4.33,35.0,CORPORATE_COLLUSION_NETWORK,HIGH_CONSTITUENCY_AGENCY_CAPTURE,PRE_AWARD_GOVERNANCE_INSTABILITY
MPLADS-000177,62.35,87.9,0,16,1,1,0.25,1,1.0,35.0,CORPORATE_COLLUSION_NETWORK,HIGH_CONSTITUENCY_AGENCY_CAPTURE,PRE_AWARD_GOVERNANCE_INSTABILITY
MPLADS-000178,29.3,47.9,0,2,1,1,0.3333,0,-0.83,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000179,75.58,96.48,1,11,1,1,0.0833,1,0.67,35.0,CORPORATE_COLLUSION_NETWORK,HUB_CENTRALITY_SPIKE,NONE
MPLADS-000180,67.96,91.94,0,34,1,1,0.125,1,1.0,50.0,CORPORATE_COLLUSION_NETWORK,RECURRING_EXCLUSIVE_PAIRING,NONE
MPLADS-000181,8.39,10.8,0,10,1,1,0.125,0,0.33,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000182,18.75,29.56,0,24,1,1,0.1667,0,0.5,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000183,32.11,52.46,0,25,1,1,0.1667,0,-0.67,15.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000184,9.45,12.72,0,17,1,1,0.1667,0,-0.17,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000185,29.73,48.6,0,9,1,1,0.5,0,-0.5,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000186,31.05,50.8,0,14,1,1,0.5,0,0.17,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000187,13.18,19.46,0,10,1,1,0.25,0,0.5,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000188,10.01,13.74,0,23,1,1,0.1429,0,0.0,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000189,39.22,63.58,0,1,1,1,0.1667,0,-0.67,15.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000190,7.05,8.52,0,14,1,1,0.25,0,-0.5,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000191,5.67,6.24,0,28,1,1,0.2,0,-0.67,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
