project_id,payment_anomaly_score,payment_anomaly_percentile,is_payment_anomaly,payment_unverified_rate,payment_unverified_exposure,payment_smurfing_score,payment_velocity_ratio,payment_lumpiness_index,payment_timing_risk,baseline1_score,primary_reason,secondary_reason,tertiary_reason
MPLADS-000034,4.32,6.52,0,0.0,0.0,0.0,0.8524,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000035,24.1,39.26,0,0.0,0.0,0.0,0.9202,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000036,55.65,80.06,0,0.0,0.0,0.0,1.4293,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000037,69.23,90.42,0,0.0,0.0,0.0,0.8848,0.2222,0.231,0.0,PAYMENT_TIMING_ANOMALY,NONE,NONE
MPLADS-000038,30.1,48.36,0,0.0,0.0,0.0,0.9463,0.25,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000039,17.02,29.42,0,0.0,0.0,0.0,0.9686,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000040,12.15,20.72,0,0.0,0.0,0.0,0.9726,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000041,9.91,16.56,0,0.0,0.0,0.0,0.8617,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000042,36.13,59.72,0,0.0,0.0,0.0,0.8666,0.25,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000043,45.52,73.7,0,0.0,0.0,0.0,0.873,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000044,11.18,18.88,0,0.0,0.0,0.0,0.9223,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000045,74.04,93.26,0,0.0,0.0,0.0,0.4284,0.25,0.0,0.0,ELEVATED_PAYMENT_VOLATILITY,NONE,NONE
MPLADS-000046,65.09,86.82,0,0.0,0.0,0.0,1.3206,0.25,0.0,0.0,ELEVATED_PAYMENT_VOLATILITY,NONE,NONE
MPLADS-000047,31.31,50.7,0,0.0,0.0,0.0,0.9036,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000048,17.59,30.3,0,0.0,0.0,0.0,0.9008,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000049,2.5,3.62,0,0.0,0.0,0.0,0.8877,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000050,17.68,30.44,0,0.0,0.0,0.0,0.9478,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000051,18.11,31.04,0,0.0,0.0,0.0,0.8577,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000052,26.33,41.98,0,0.0,0.0,0.0,0.9365,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000053,38.65,64.2,0,0.0,0.0,0.0,0.9779,0.25,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000054,84.2,98.4,1,0.0,0.0,0.0,0.972,0.25,0.3466,0.0,PAYMENT_TIMING_ANOMALY,NONE,NONE
MPLADS-000055,48.2,75.96,0,0.0,0.0,0.0087,0.851,0.2222,0.0,25.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000056,43.43,71.22,0,0.0,0.0,0.6308,0.8957,0.2223,0.0,25.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000057,35.82,59.16,0,0.0,0.0,0.0,0.8832,0.25,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000058,18.82,32.2,0,0.0,0.0,0.0,0.9282,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000059,42.98,70.6,0,0.0,0.0,0.0,0.8815,0.25,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000060,16.62,28.76,0,0.0,0.0,0.0,0.9414,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000061,55.07,79.7,0,0.0,0.0,0.0,0.9075,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000062,29.43,47.16,0,0.0,0.0,0.0,0.8616,0.2223,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000063,52.84,78.52,0,0.0,0.0,0.0,1.3611,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000064,61.7,83.72,0,0.0,0.0,0.0,0.9496,0.2222,0.0,0.0,ELEVATED_PAYMENT_VOLATILITY,NONE,NONE
MPLADS-000065,66.49,88.16,0,0.0,0.0,0.0,1.3908,0.2222,0.0,0.0,ELEVATED_PAYMENT_VOLATILITY,NONE,NONE
MPLADS-000066,33.18,54.26,0,0.0,0.0,0.0,0.8961,0.25,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000067,55.18,79.8,0,0.0,0.0,0.0,0.55,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000068,45.54,73.72,0,0.0,0.0,0.0,1.3205,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000069,12.28,21.0,0,0.0,0.0,0.0003,0.9746,0.2222,0.0,25.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000070,34.35,56.42,0,0.0,0.0,0.0,0.965,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000071,69.92,90.88,0,0.0,0.0,0.0,0.8552,0.2222,0.0,0.0,ELEVATED_PAYMENT_VOLATILITY,NONE,NONE
MPLADS-000072,74.71,93.46,0,1.0,1944000.0,0.0,0.9848,0.2222,0.0,50.0,UNVERIFIED_DISBURSEMENT_BURST,NONE,NONE
MPLADS-000073,61.17,83.36,0,0.0,0.0,0.0,1.4286,0.2222,0.0,0.0,ELEVATED_PAYMENT_VOLATILITY,NONE,NONE
MPLADS-000074,30.05,48.28,0,0.0,0.0,0.0,0.8839,0.25,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000075,51.34,77.7,0,0.0,0.0,0.0,1.3216,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000076,68.46,89.84,0,0.0,0.0,0.0,0.9175,0.2222,0.0,25.0,ROUND_NUMBER_DISBURSEMENT_CONCENTRATION,NONE,NONE
MPLADS-000077,6.75,10.64,0,0.0,0.0,0.0,0.9124,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000078,22.04,36.56,0,0.0,0.0,0.0,0.9494,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000079,31.62,51.36,0,0.0,0.0,0.0,0.9451,0.25,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000080,63.29,85.14,0,0.0,0.0,0.0,0.8916,0.2222,0.231,0.0,PAYMENT_TIMING_ANOMALY,NONE,NONE
MPLADS-000081,17.61,30.34,0,0.0,0.0,0.0,0.886,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000082,28.53,45.4,0,0.0,0.0,0.0,0.8772,0.2223,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000083,40.15,66.54,0,0.0,0.0,0.0,0.8704,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000084,57.62,81.34,0,0.0,0.0,0.0,0.8613,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000085,11.8,20.08,0,0.0,0.0,0.0,0.915,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000086,42.39,69.78,0,0.0,0.0,0.0,0.9123,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000087,7.61,12.24,0,0.0,0.0,0.0,0.9103,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000088,82.92,97.88,1,1.0,12785000.0,0.0,0.856,0.2222,0.0,50.0,UNVERIFIED_DISBURSEMENT_BURST,NONE,NONE
MPLADS-000089,20.52,34.6,0,0.0,0.0,0.0,0.8531,0.2223,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000090,43.09,70.74,0,0.0,0.0,0.0,0.906,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000091,20.67,34.82,0,0.0,0.0,0.1583,0.9576,0.2222,0.0,25.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000092,7.71,12.44,0,0.0,0.0,0.0,0.8775,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000093,8.82,14.56,0,0.0,0.0,0.0,0.929,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000094,43.15,70.84,0,0.0,0.0,0.0,0.9209,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000095,56.86,80.86,0,0.0,0.0,0.0,1.5779,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000096,18.46,31.64,0,0.0,0.0,0.0,0.8682,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000097,82.46,97.52,1,0.0,0.0,0.6885,0.447,0.2222,0.0,25.0,STATUTORY_CEILING_SMURFING,NONE,NONE
MPLADS-000098,15.26,26.5,0,0.0,0.0,0.0,0.8781,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000099,80.71,96.68,1,0.0,0.0,0.0,0.9653,0.2223,0.231,0.0,PAYMENT_TIMING_ANOMALY,NONE,NONE
MPLADS-000100,22.26,36.84,0,0.0,0.0,0.0,0.9081,0.2223,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000101,9.2,15.24,0,0.0,0.0,0.0743,0.9566,0.2222,0.0,25.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000102,41.43,68.32,0,0.0,0.0,0.0,0.8978,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000103,62.41,84.3,0,1.0,3258000.0,0.0,0.897,0.2222,0.0,50.0,UNVERIFIED_DISBURSEMENT_BURST,NONE,NONE
MPLADS-000104,13.07,22.58,0,0.0,0.0,0.0,0.9494,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000105,26.94,42.92,0,0.0,0.0,0.0,0.9061,0.25,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000106,40.49,67.06,0,0.0,0.0,0.0,0.9689,0.25,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000107,9.26,15.36,0,0.0,0.0,0.0002,0.9695,0.2222,0.0,25.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000108,16.48,28.54,0,0.0,0.0,0.0,0.9434,0.2223,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000109,31.28,50.64,0,0.0,0.0,0.0,0.9347,0.25,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000110,35.51,58.6,0,0.0,0.0,0.0,0.957,0.25,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000111,7.82,12.66,0,0.0,0.0,0.0,0.857,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000112,40.84,67.48,0,0.0,0.0,0.0,0.9443,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000113,24.08,39.22,0,0.0,0.0,0.0,0.8644,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000114,31.68,51.48,0,0.0,0.0,0.0,0.9437,0.25,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000115,10.37,17.42,0,0.0,0.0,0.0,0.8781,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000116,35.12,57.9,0,0.0,0.0,0.0,0.9037,0.25,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000117,15.67,27.14,0,0.0,0.0,0.0,0.8803,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000118,7.3,11.64,0,0.0,0.0,0.0,0.8651,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000119,59.33,82.34,0,0.0,0.0,0.0,1.5429,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000120,85.96,98.98,1,1.0,3165000.0,0.0,0.9571,0.2222,0.231,50.0,UNVERIFIED_DISBURSEMENT_BURST,PAYMENT_TIMING_ANOMALY,NONE
MPLADS-000121,9.04,14.94,0,0.0,0.0,0.0,0.9079,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000122,65.71,87.42,0,0.0,0.0,0.0307,0.9482,0.2222,0.0,25.0,STATUTORY_CEILING_SMURFING,NONE,NONE
MPLADS-000123,15.55,26.9,0,0.0,0.0,0.0,0.954,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000124,29.64,47.54,0,0.0,0.0,0.0,0.9298,0.25,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000125,91.82,99.52,1,0.0,0.0,0.5823,1.5816,0.2222,0.231,25.0,STATUTORY_CEILING_SMURFING,PAYMENT_TIMING_ANOMALY,NONE
MPLADS-000126,38.63,64.16,0,0.0,0.0,0.0,0.9071,0.25,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000127,26.26,41.88,0,0.0,0.0,0.0,0.9157,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000128,72.49,92.38,0,0.0,0.0,0.0,0.8843,0.2222,0.0,0.0,ELEVATED_PAYMENT_VOLATILITY,NONE,NONE
MPLADS-000129,69.29,90.52,0,1.0,2345000.0,0.0,0.8721,0.2222,0.0,50.0,UNVERIFIED_DISBURSEMENT_BURST,NONE,NONE
MPLADS-000130,28.71,45.74,0,0.0,0.0,0.0,0.9057,0.25,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000131,53.42,78.86,0,0.0,0.0,0.0,1.4445,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000132,43.24,70.96,0,0.0,0.0,0.8353,0.897,0.2222,0.0,25.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000133,7.47,11.98,0,0.0,0.0,0.0,0.9465,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000134,8.72,14.38,0,0.0,0.0,0.0,0.9522,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000135,16.67,28.86,0,0.0,0.0,0.0,0.9421,0.2223,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000136,64.17,85.84,0,1.0,1936000.0,0.0,0.8971,0.2222,0.0,50.0,UNVERIFIED_DISBURSEMENT_BURST,NONE,NONE
MPLADS-000137,37.57,62.3,0,0.0,0.0,0.2606,0.8554,0.2222,0.0,25.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000138,66.68,88.34,0,0.0,0.0,0.0,0.871,0.2222,0.231,0.0,PAYMENT_TIMING_ANOMALY,NONE,NONE
MPLADS-000139,48.97,76.4,0,0.0,0.0,0.0,1.3026,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000140,53.43,78.88,0,0.0,0.0,0.0,0.5071,0.2223,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000141,26.65,42.48,0,0.0,0.0,0.0,0.9066,0.25,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000142,21.16,35.4,0,0.0,0.0,0.0,0.914,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000143,25.68,41.14,0,0.0,0.0,0.0,0.8964,0.2223,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000144,42.48,69.92,0,0.0,0.0,0.0,0.8685,0.25,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000145,10.31,17.32,0,0.0,0.0,0.0,0.8745,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000146,64.39,86.1,0,1.0,1947000.0,0.0,0.8822,0.2222,0.0,50.0,UNVERIFIED_DISBURSEMENT_BURST,NONE,NONE
MPLADS-000147,27.03,43.06,0,0.0,0.0,0.0,0.904,0.25,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000148,70.0,90.94,0,0.0,0.0,0.0,0.9284,0.2222,0.231,0.0,PAYMENT_TIMING_ANOMALY,NONE,NONE
MPLADS-000149,10.95,18.48,0,0.0,0.0,0.0,0.9023,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000150,57.5,81.24,0,0.0,0.0,0.0,0.5671,0.2223,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000151,28.17,44.78,0,0.0,0.0,0.0,0.8905,0.25,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000152,33.97,55.74,0,0.0,0.0,0.0,0.9183,0.25,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000153,37.55,62.26,0,0.0,0.0,0.0,0.9499,0.25,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000154,44.31,72.35,0,0.0,0.0,0.0,0.8929,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000155,32.96,53.88,0,0.0,0.0,0.0,0.9213,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000156,28.11,44.68,0,0.0,0.0,0.0,0.9626,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000157,44.4,72.46,0,0.0,0.0,0.0,0.9394,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000158,3.34,4.88,0,0.0,0.0,0.0,0.8837,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000159,13.63,23.6,0,0.0,0.0,0.0,0.8807,0.2223,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000160,7.56,12.14,0,0.0,0.0,0.0,0.9584,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000161,43.71,71.6,0,0.0,0.0,0.0,0.9161,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000162,2.07,2.94,0,0.0,0.0,0.0,0.9623,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000163,35.25,58.14,0,0.0,0.0,0.0,0.8784,0.25,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000164,31.74,51.6,0,0.0,0.0,0.0,0.9365,0.25,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000165,2.83,4.08,0,0.0,0.0,0.0,0.8836,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000166,35.62,58.8,0,0.0,0.0,0.0,0.889,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000167,18.83,32.22,0,0.0,0.0,0.0,0.8622,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000168,16.95,29.3,0,0.0,0.0,0.0,0.8547,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000169,48.49,76.14,0,0.0,0.0,0.0,0.6362,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000170,27.76,44.14,0,0.0,0.0,0.0,0.9756,0.2223,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
