project_id,progress_observation_count,latest_physical_progress,latest_financial_progress,latest_planned_progress,latest_completion_percentage,latest_progress_mismatch,latest_progress_gap,financial_minus_physical_progress,actual_vs_planned_progress,physical_progress_slope,financial_progress_slope,planned_progress_slope,progress_gap_slope,progress_velocity_latest,progress_acceleration_latest,latest_delay_days,max_delay_days,extension_count,planned_duration_days,actual_duration_days,duration_overrun_days,duration_overrun_ratio,geotag_available_rate,geotag_consistency_rate,measurement_book_verified_rate
MPLADS-000026,1,21.7,87.3,88.0,21.7,65.6,65.6,65.6,-68.3,0.0564,0.0,0.0,0.0,0.0564,0.0118,65.6,65.6,0,400.0,385.0,0.0,0.9625,1.0,1.0,0.0
MPLADS-000027,1,83.2,97.0,89.3,83.2,13.8,13.8,13.8,-6.8,0.4402,0.0,0.0,0.0,0.4402,0.0135,13.8,13.8,0,180.0,189.0,9.0,1.05,1.0,1.0,1.0
MPLADS-000028,1,70.8,85.6,88.8,70.8,14.8,14.8,14.8,-19.2,0.7453,0.0,0.0,0.0,0.7453,0.0474,14.8,14.8,0,90.0,95.0,5.0,1.0556,1.0,1.0,1.0
MPLADS-000029,1,75.0,97.0,94.2,75.0,22.0,22.0,22.0,-15.0,0.487,0.0,0.0,0.0,0.487,0.0173,22.0,22.0,0,160.0,154.0,0.0,0.9625,1.0,1.0,1.0
MPLADS-000030,1,82.0,97.8,84.3,82.0,15.8,15.8,15.8,-8.0,0.3581,0.0,0.0,0.0,0.3581,0.0362,15.8,15.8,0,210.0,229.0,19.0,1.0905,1.0,1.0,1.0
MPLADS-000031,1,95.8,87.9,93.0,95.8,7.9,-7.9,-7.9,5.8,0.7917,0.0,0.0,0.0,0.7917,-0.0111,0.0,0.0,0,90.0,121.0,31.0,1.3444,1.0,1.0,1.0
MPLADS-000032,1,92.7,88.0,95.3,92.7,4.7,-4.7,-4.7,2.7,1.7491,0.0,0.0,0.0,1.7491,-0.0088,0.0,0.0,0,60.0,53.0,0.0,0.8833,1.0,1.0,1.0
MPLADS-000033,1,76.0,97.7,97.6,76.0,21.7,21.7,21.7,-14.0,0.1858,0.0,0.0,0.0,0.1858,0.0122,21.7,21.7,0,400.0,409.0,9.0,1.0225,1.0,1.0,1.0
MPLADS-000034,1,93.5,85.2,89.2,93.5,8.3,-8.3,-8.3,3.5,0.5405,0.0,0.0,0.0,0.5405,0.0064,0.0,0.0,0,180.0,173.0,0.0,0.9611,1.0,1.0,1.0
MPLADS-000035,1,81.6,92.0,96.2,81.6,10.4,10.4,10.4,-8.4,0.6915,0.0,0.0,0.0,0.6915,0.0258,10.4,10.4,0,120.0,118.0,0.0,0.9833,1.0,1.0,1.0
MPLADS-000036,1,83.7,142.9,97.0,83.7,59.2,59.2,59.2,-6.3,0.3444,0.0,0.0,0.0,0.3444,0.0232,59.2,59.2,0,210.0,243.0,33.0,1.1571,1.0,1.0,1.0
MPLADS-000037,1,57.8,88.5,97.5,57.8,30.7,30.7,30.7,-32.2,0.1204,0.0,0.0,0.0,0.1204,0.047,30.7,30.7,3,160.0,480.0,320.0,3.0,1.0,1.0,1.0
MPLADS-000038,1,97.6,94.6,87.0,97.6,3.0,-3.0,-3.0,7.6,1.1759,0.0,0.0,0.0,1.1759,0.0435,0.0,0.0,0,90.0,83.0,0.0,0.9222,1.0,1.0,1.0
MPLADS-000039,1,98.8,96.9,96.8,98.8,1.9,-1.9,-1.9,8.8,0.9234,0.0,0.0,0.0,0.9234,0.0385,0.0,0.0,0,120.0,107.0,0.0,0.8917,1.0,1.0,1.0
MPLADS-000040,1,89.0,97.3,88.2,89.0,8.3,8.3,8.3,-1.0,0.6742,0.0,0.0,0.0,0.6742,0.0456,8.3,8.3,0,120.0,132.0,12.0,1.1,1.0,1.0,1.0
MPLADS-000041,1,80.1,86.2,86.9,80.1,6.1,6.1,6.1,-9.9,0.5168,0.0,0.0,0.0,0.5168,-0.0152,6.1,6.1,0,150.0,155.0,5.0,1.0333,1.0,1.0,1.0
MPLADS-000042,1,75.2,86.7,89.3,75.2,11.5,11.5,11.5,-14.8,0.8174,0.0,0.0,0.0,0.8174,-0.0186,11.5,11.5,0,90.0,92.0,2.0,1.0222,1.0,1.0,1.0
MPLADS-000043,1,94.2,87.3,83.9,94.2,6.9,-6.9,-6.9,4.2,0.2428,0.0,0.0,0.0,0.2428,0.04,0.0,0.0,0,400.0,388.0,0.0,0.97,1.0,1.0,1.0
MPLADS-000044,1,93.8,92.2,97.3,93.8,1.6,-1.6,-1.6,3.8,0.5098,0.0,0.0,0.0,0.5098,0.0455,0.0,0.0,0,160.0,184.0,24.0,1.15,1.0,1.0,1.0
MPLADS-000045,1,11.0,42.8,82.7,11.0,31.8,31.8,31.8,-79.0,0.2245,0.0,0.0,0.0,0.2245,0.0337,31.8,31.8,0,60.0,49.0,0.0,0.8167,1.0,1.0,1.0
MPLADS-000046,1,85.7,132.1,98.3,85.7,46.4,46.4,46.4,-4.3,1.1903,0.0,0.0,0.0,1.1903,-0.018,46.4,46.4,0,60.0,72.0,12.0,1.2,1.0,1.0,1.0
MPLADS-000047,1,80.9,90.4,98.7,80.9,9.5,9.5,9.5,-9.1,0.3357,0.0,0.0,0.0,0.3357,0.0075,9.5,9.5,0,210.0,241.0,31.0,1.1476,1.0,1.0,1.0
MPLADS-000048,1,80.6,90.1,97.6,80.6,9.5,9.5,9.5,-9.4,0.352,0.0,0.0,0.0,0.352,0.0409,9.5,9.5,0,210.0,229.0,19.0,1.0905,1.0,1.0,1.0
MPLADS-000049,1,85.1,88.8,81.7,85.1,3.7,3.7,3.7,-4.9,0.5599,0.0,0.0,0.0,0.5599,0.0162,3.7,3.7,0,160.0,152.0,0.0,0.95,1.0,1.0,1.0
MPLADS-000050,1,97.1,94.8,87.5,97.1,2.3,-2.3,-2.3,7.1,0.4374,0.0,0.0,0.0,0.4374,0.0237,0.0,0.0,0,210.0,222.0,12.0,1.0571,1.0,1.0,1.0
MPLADS-000051,1,83.6,85.8,94.7,83.6,2.2,2.2,2.2,-6.4,0.486,0.0,0.0,0.0,0.486,-0.0176,2.2,2.2,0,160.0,172.0,12.0,1.075,1.0,1.0,1.0
MPLADS-000052,1,50.7,93.6,95.4,50.7,42.9,42.9,42.9,-39.3,0.1056,0.0,0.0,0.0,0.1056,-0.012,42.9,42.9,3,160.0,480.0,320.0,3.0,1.0,1.0,1.0
MPLADS-000053,1,82.8,97.8,88.2,82.8,15.0,15.0,15.0,-7.2,0.9517,0.0,0.0,0.0,0.9517,0.0168,15.0,15.0,0,90.0,87.0,0.0,0.9667,1.0,1.0,1.0
MPLADS-000054,1,76.4,97.2,88.6,76.4,20.8,20.8,20.8,-13.6,0.9095,0.0,0.0,0.0,0.9095,0.01,20.8,20.8,0,60.0,84.0,24.0,1.4,1.0,1.0,1.0
MPLADS-000055,1,77.8,85.1,95.6,77.8,7.3,7.3,7.3,-12.2,0.374,0.0,0.0,0.0,0.374,0.0444,7.3,7.3,0,210.0,208.0,0.0,0.9905,1.0,1.0,1.0
MPLADS-000056,1,70.3,89.6,97.6,70.3,19.3,19.3,19.3,-19.7,0.4718,0.0,0.0,0.0,0.4718,-0.0017,19.3,19.3,0,120.0,149.0,29.0,1.2417,1.0,1.0,1.0
MPLADS-000057,1,88.4,88.3,87.2,88.4,0.1,-0.1,-0.1,-1.6,0.9714,0.0,0.0,0.0,0.9714,0.025,0.0,0.0,0,60.0,91.0,31.0,1.5167,1.0,1.0,1.0
MPLADS-000058,1,86.3,92.8,95.3,86.3,6.5,6.5,6.5,-3.7,0.5604,0.0,0.0,0.0,0.5604,0.0303,6.5,6.5,0,150.0,154.0,4.0,1.0267,1.0,1.0,1.0
MPLADS-000059,1,80.2,88.1,87.1,80.2,7.9,7.9,7.9,-9.8,1.5423,0.0,0.0,0.0,1.5423,0.0204,7.9,7.9,0,60.0,52.0,0.0,0.8667,1.0,1.0,1.0
MPLADS-000060,1,83.9,94.1,81.3,83.9,10.2,10.2,10.2,-6.1,0.3902,0.0,0.0,0.0,0.3902,-0.0096,10.2,10.2,0,210.0,215.0,5.0,1.0238,1.0,1.0,1.0
MPLADS-000061,1,75.4,90.7,93.2,75.4,15.3,15.3,15.3,-14.6,0.6981,0.0,0.0,0.0,0.6981,-0.011,15.3,15.3,0,90.0,108.0,18.0,1.2,1.0,1.0,1.0
MPLADS-000062,1,83.8,86.2,87.0,83.8,2.4,2.4,2.4,-6.2,0.6598,0.0,0.0,0.0,0.6598,-0.012,2.4,2.4,0,120.0,127.0,7.0,1.0583,1.0,1.0,1.0
MPLADS-000063,1,88.6,136.1,92.5,88.6,47.5,47.5,47.5,-1.4,0.495,0.0,0.0,0.0,0.495,-0.006,47.5,47.5,0,180.0,179.0,0.0,0.9944,1.0,1.0,1.0
MPLADS-000064,1,69.5,95.0,85.8,69.5,25.5,25.5,25.5,-20.5,0.0827,0.0,0.0,0.0,0.0827,0.0483,25.5,25.5,4,210.0,840.0,630.0,4.0,1.0,1.0,1.0
MPLADS-000065,1,75.4,139.1,86.8,75.4,63.7,63.7,63.7,-14.6,0.1795,0.0,0.0,0.0,0.1795,-0.0036,63.7,63.7,0,400.0,420.0,20.0,1.05,1.0,1.0,1.0
MPLADS-000066,1,74.8,89.6,88.5,74.8,14.8,14.8,14.8,-15.2,0.68,0.0,0.0,0.0,0.68,-0.0115,14.8,14.8,0,90.0,110.0,20.0,1.2222,1.0,1.0,1.0
MPLADS-000067,1,19.2,55.0,88.5,19.2,35.8,35.8,35.8,-70.8,0.079,0.0,0.0,0.0,0.079,-0.0101,35.8,35.8,0,210.0,243.0,33.0,1.1571,1.0,1.0,1.0
MPLADS-000068,1,87.8,132.0,85.4,87.8,44.2,44.2,44.2,-2.2,0.5522,0.0,0.0,0.0,0.5522,0.0038,44.2,44.2,0,160.0,159.0,0.0,0.9938,1.0,1.0,1.0
MPLADS-000069,1,85.4,97.5,96.3,85.4,12.1,12.1,12.1,-4.6,0.4543,0.0,0.0,0.0,0.4543,0.0283,12.1,12.1,0,180.0,188.0,8.0,1.0444,1.0,1.0,1.0
MPLADS-000070,1,91.6,96.5,99.6,91.6,4.9,4.9,4.9,1.6,0.2171,0.0,0.0,0.0,0.2171,-0.0049,4.9,4.9,0,400.0,422.0,22.0,1.055,1.0,1.0,1.0
MPLADS-000071,1,81.6,85.5,96.4,81.6,3.9,3.9,3.9,-8.4,1.4571,0.0,0.0,0.0,1.4571,-0.0047,3.9,3.9,0,60.0,56.0,0.0,0.9333,1.0,1.0,1.0
MPLADS-000072,1,28.6,98.5,93.9,28.6,69.9,69.9,69.9,-61.4,0.1554,0.0,0.0,0.0,0.1554,0.0238,69.9,69.9,0,150.0,184.0,34.0,1.2267,1.0,1.0,0.0
MPLADS-000073,1,71.7,142.9,95.9,71.7,71.2,71.2,71.2,-18.3,0.4399,0.0,0.0,0.0,0.4399,0.012,71.2,71.2,0,150.0,163.0,13.0,1.0867,1.0,1.0,1.0
MPLADS-000074,1,84.6,88.4,96.6,84.6,3.8,3.8,3.8,-5.4,0.8214,0.0,0.0,0.0,0.8214,0.028,3.8,3.8,0,90.0,103.0,13.0,1.1444,1.0,1.0,1.0
MPLADS-000075,1,79.3,132.2,95.1,79.3,52.9,52.9,52.9,-10.7,0.385,0.0,0.0,0.0,0.385,0.0421,52.9,52.9,0,180.0,206.0,26.0,1.1444,1.0,1.0,1.0
MPLADS-000076,1,80.3,91.8,92.0,80.3,11.5,11.5,11.5,-9.7,0.4436,0.0,0.0,0.0,0.4436,0.0253,11.5,11.5,0,180.0,181.0,1.0,1.0056,1.0,1.0,1.0
MPLADS-000077,1,86.7,91.2,85.7,86.7,4.5,4.5,4.5,-3.3,0.3583,0.0,0.0,0.0,0.3583,0.002,4.5,4.5,0,210.0,242.0,32.0,1.1524,1.0,1.0,1.0
MPLADS-000078,1,99.0,94.9,89.5,99.0,4.1,-4.1,-4.1,9.0,0.7122,0.0,0.0,0.0,0.7122,0.0249,0.0,0.0,0,120.0,139.0,19.0,1.1583,1.0,1.0,1.0
MPLADS-000079,1,93.6,94.5,84.6,93.6,0.9,0.9,0.9,3.6,1.17,0.0,0.0,0.0,1.17,0.0339,0.9,0.9,0,60.0,80.0,20.0,1.3333,1.0,1.0,1.0
MPLADS-000080,1,97.9,89.2,85.6,97.9,8.7,-8.7,-8.7,7.9,0.8227,0.0,0.0,0.0,0.8227,-0.0083,0.0,0.0,0,120.0,119.0,0.0,0.9917,1.0,1.0,1.0
MPLADS-000081,1,84.3,88.6,81.4,84.3,4.3,4.3,4.3,-5.7,0.3832,0.0,0.0,0.0,0.3832,-0.0148,4.3,4.3,0,210.0,220.0,10.0,1.0476,1.0,1.0,1.0
MPLADS-000082,1,88.1,87.7,90.9,88.1,0.4,-0.4,-0.4,-1.9,0.4711,0.0,0.0,0.0,0.4711,0.04,0.0,0.0,0,180.0,187.0,7.0,1.0389,1.0,1.0,1.0
MPLADS-000083,1,74.0,87.0,98.5,74.0,13.0,13.0,13.0,-16.0,0.1741,0.0,0.0,0.0,0.1741,-0.0133,13.0,13.0,0,400.0,425.0,25.0,1.0625,1.0,1.0,1.0
MPLADS-000084,1,66.2,86.1,85.3,66.2,19.9,19.9,19.9,-23.8,0.1034,0.0,0.0,0.0,0.1034,0.0398,19.9,19.9,2,160.0,640.0,480.0,4.0,1.0,1.0,1.0
MPLADS-000085,1,91.0,91.5,80.6,91.0,0.5,0.5,0.5,1.0,0.5291,0.0,0.0,0.0,0.5291,-0.0063,0.5,0.5,0,160.0,172.0,12.0,1.075,1.0,1.0,1.0
MPLADS-000086,1,92.3,91.2,99.3,92.3,1.1,-1.1,-1.1,2.3,0.229,0.0,0.0,0.0,0.229,0.038,0.0,0.0,0,400.0,403.0,3.0,1.0075,1.0,1.0,1.0
MPLADS-000087,1,71.5,91.0,80.1,71.5,19.5,19.5,19.5,-18.5,0.4414,0.0,0.0,0.0,0.4414,0.0285,19.5,19.5,0,150.0,162.0,12.0,1.08,1.0,1.0,1.0
MPLADS-000088,1,16.0,85.6,94.9,16.0,69.6,69.6,69.6,-74.0,0.0377,0.0,0.0,0.0,0.0377,0.0408,69.6,69.6,0,400.0,424.0,24.0,1.06,1.0,1.0,0.0
MPLADS-000089,1,70.8,85.3,97.4,70.8,14.5,14.5,14.5,-19.2,0.3707,0.0,0.0,0.0,0.3707,-0.0112,14.5,14.5,0,180.0,191.0,11.0,1.0611,1.0,1.0,1.0
MPLADS-000090,1,93.4,90.6,80.1,93.4,2.8,-2.8,-2.8,3.4,0.2284,0.0,0.0,0.0,0.2284,0.0015,0.0,0.0,0,400.0,409.0,9.0,1.0225,1.0,1.0,1.0
MPLADS-000091,1,70.4,95.8,89.1,70.4,25.4,25.4,25.4,-19.6,0.5457,0.0,0.0,0.0,0.5457,-0.0087,25.4,25.4,0,120.0,129.0,9.0,1.075,1.0,1.0,1.0
MPLADS-000092,1,79.8,87.7,99.0,79.8,7.9,7.9,7.9,-10.2,0.4613,0.0,0.0,0.0,0.4613,-0.0152,7.9,7.9,0,150.0,173.0,23.0,1.1533,1.0,1.0,1.0
MPLADS-000093,1,83.1,92.9,83.0,83.1,9.8,9.8,9.8,-6.9,0.4617,0.0,0.0,0.0,0.4617,-0.0054,9.8,9.8,0,180.0,180.0,0.0,1.0,1.0,1.0,1.0
MPLADS-000094,1,90.6,92.1,85.1,90.6,1.5,1.5,1.5,0.6,0.3807,0.0,0.0,0.0,0.3807,0.0031,1.5,1.5,0,210.0,238.0,28.0,1.1333,1.0,1.0,1.0
MPLADS-000095,1,95.5,157.8,84.9,95.5,62.3,62.3,62.3,5.5,0.5685,0.0,0.0,0.0,0.5685,-0.0027,62.3,62.3,0,160.0,168.0,8.0,1.05,1.0,1.0,1.0
MPLADS-000096,1,79.5,86.8,80.9,79.5,7.3,7.3,7.3,-10.5,0.5064,0.0,0.0,0.0,0.5064,-0.0047,7.3,7.3,0,160.0,157.0,0.0,0.9812,1.0,1.0,1.0
MPLADS-000097,1,20.0,44.7,83.1,20.0,24.7,24.7,24.7,-70.0,0.05,0.0,0.0,0.0,0.05,-0.0175,24.7,24.7,0,400.0,400.0,0.0,1.0,1.0,1.0,1.0
MPLADS-000098,1,99.1,87.8,98.8,99.1,11.3,-11.3,-11.3,9.1,0.5135,0.0,0.0,0.0,0.5135,0.0123,0.0,0.0,0,160.0,193.0,33.0,1.2063,1.0,1.0,1.0
MPLADS-000099,1,94.1,96.5,97.7,94.1,2.4,2.4,2.4,4.1,0.9048,0.0,0.0,0.0,0.9048,0.0332,2.4,2.4,0,90.0,104.0,14.0,1.1556,1.0,1.0,1.0
MPLADS-000100,1,97.6,90.8,90.4,97.6,6.8,-6.8,-6.8,7.6,0.5988,0.0,0.0,0.0,0.5988,-0.0092,0.0,0.0,0,150.0,163.0,13.0,1.0867,1.0,1.0,1.0
MPLADS-000101,1,91.3,95.7,94.2,91.3,4.4,4.4,4.4,1.3,0.6007,0.0,0.0,0.0,0.6007,-0.0094,4.4,4.4,0,160.0,152.0,0.0,0.95,1.0,1.0,1.0
MPLADS-000102,1,97.7,89.8,98.4,97.7,7.9,-7.9,-7.9,7.7,0.2461,0.0,0.0,0.0,0.2461,0.0388,0.0,0.0,0,400.0,397.0,0.0,0.9925,1.0,1.0,1.0
MPLADS-000103,1,30.2,89.7,91.8,30.2,59.5,59.5,59.5,-59.8,0.1398,0.0,0.0,0.0,0.1398,0.0345,59.5,59.5,0,210.0,216.0,6.0,1.0286,1.0,1.0,0.0
MPLADS-000104,1,86.1,94.9,98.3,86.1,8.8,8.8,8.8,-3.9,0.5095,0.0,0.0,0.0,0.5095,0.0306,8.8,8.8,0,160.0,169.0,9.0,1.0562,1.0,1.0,1.0
MPLADS-000105,1,79.5,90.6,89.9,79.5,11.1,11.1,11.1,-10.5,0.9034,0.0,0.0,0.0,0.9034,0.031,11.1,11.1,0,90.0,88.0,0.0,0.9778,1.0,1.0,1.0
MPLADS-000106,1,95.8,96.9,94.5,95.8,1.1,1.1,1.1,5.8,1.2773,0.0,0.0,0.0,1.2773,0.0293,1.1,1.1,0,60.0,75.0,15.0,1.25,1.0,1.0,1.0
MPLADS-000107,1,72.4,97.0,93.9,72.4,24.6,24.6,24.6,-17.6,0.3321,0.0,0.0,0.0,0.3321,0.023,24.6,24.6,0,210.0,218.0,8.0,1.0381,1.0,1.0,1.0
MPLADS-000108,1,97.3,94.3,94.9,97.3,3.0,-3.0,-3.0,7.3,0.8176,0.0,0.0,0.0,0.8176,0.0492,0.0,0.0,0,120.0,119.0,0.0,0.9917,1.0,1.0,1.0
MPLADS-000109,1,78.8,93.5,81.6,78.8,14.7,14.7,14.7,-11.2,1.0234,0.0,0.0,0.0,1.0234,0.0093,14.7,14.7,0,60.0,77.0,17.0,1.2833,1.0,1.0,1.0
MPLADS-000110,1,84.5,95.7,81.9,84.5,11.2,11.2,11.2,-5.5,1.1118,0.0,0.0,0.0,1.1118,0.0494,11.2,11.2,0,90.0,76.0,0.0,0.8444,1.0,1.0,1.0
MPLADS-000111,1,81.8,85.7,88.7,81.8,3.9,3.9,3.9,-8.2,0.4869,0.0,0.0,0.0,0.4869,0.0341,3.9,3.9,0,150.0,168.0,18.0,1.12,1.0,1.0,1.0
MPLADS-000112,1,73.9,94.4,96.7,73.9,20.5,20.5,20.5,-16.1,0.4993,0.0,0.0,0.0,0.4993,-0.0165,20.5,20.5,0,160.0,148.0,0.0,0.925,1.0,1.0,1.0
MPLADS-000113,1,99.2,86.4,93.5,99.2,12.8,-12.8,-12.8,9.2,0.6841,0.0,0.0,0.0,0.6841,0.0293,0.0,0.0,0,120.0,145.0,25.0,1.2083,1.0,1.0,1.0
MPLADS-000114,1,79.7,94.4,86.4,79.7,14.7,14.7,14.7,-10.3,1.0218,0.0,0.0,0.0,1.0218,0.0414,14.7,14.7,0,90.0,78.0,0.0,0.8667,1.0,1.0,1.0
MPLADS-000115,1,91.1,87.8,88.3,91.1,3.3,-3.3,-3.3,1.1,0.5327,0.0,0.0,0.0,0.5327,0.0016,0.0,0.0,0,180.0,171.0,0.0,0.95,1.0,1.0,1.0
MPLADS-000116,1,72.0,90.4,99.6,72.0,18.4,18.4,18.4,-18.0,1.1077,0.0,0.0,0.0,1.1077,0.0224,18.4,18.4,0,60.0,65.0,5.0,1.0833,1.0,1.0,1.0
MPLADS-000117,1,87.9,88.0,98.5,87.9,0.1,0.1,0.1,-2.1,0.5708,0.0,0.0,0.0,0.5708,0.0402,0.1,0.1,0,160.0,154.0,0.0,0.9625,1.0,1.0,1.0
MPLADS-000118,1,98.7,86.5,86.6,98.7,12.2,-12.2,-12.2,8.7,0.4446,0.0,0.0,0.0,0.4446,0.0144,0.0,0.0,0,210.0,222.0,12.0,1.0571,1.0,1.0,1.0
MPLADS-000119,1,84.8,154.3,89.0,84.8,69.5,69.5,69.5,-5.2,0.4711,0.0,0.0,0.0,0.4711,0.0012,69.5,69.5,0,150.0,180.0,30.0,1.2,1.0,1.0,1.0
MPLADS-000120,1,74.9,95.7,85.0,74.9,20.8,20.8,20.8,-15.1,0.3672,0.0,0.0,0.0,0.3672,0.0488,20.8,20.8,0,180.0,204.0,24.0,1.1333,0.0,0.0,0.0
MPLADS-000121,1,72.1,90.8,80.8,72.1,18.7,18.7,18.7,-17.9,0.5007,0.0,0.0,0.0,0.5007,-0.0006,18.7,18.7,0,120.0,144.0,24.0,1.2,1.0,1.0,1.0
MPLADS-000122,1,60.3,94.8,81.0,60.3,34.5,34.5,34.5,-29.7,0.0718,0.0,0.0,0.0,0.0718,-0.0046,34.5,34.5,3,210.0,840.0,630.0,4.0,1.0,1.0,1.0
MPLADS-000123,1,88.3,95.4,83.6,88.3,7.1,7.1,7.1,-1.7,0.609,0.0,0.0,0.0,0.609,0.0354,7.1,7.1,0,160.0,145.0,0.0,0.9062,1.0,1.0,1.0
