project_id,payment_count,total_paid,average_payment,median_payment,min_payment,max_payment,payment_amount_std,first_payment_date,last_payment_date,payment_span_days,average_days_between_payments,median_days_between_payments,payment_interval_std,payment_velocity_mean,payment_velocity_max,payment_frequency_mean,payment_concentration_max,duplicate_payment_count,duplicate_payment_rate,payment_timing_anomaly_count,payment_timing_anomaly_rate,unverified_payment_count,unverified_payment_rate,round_number_payment_count,round_number_payment_rate,final_installment_count,final_installment_amount,final_installment_share
MPLADS-000059,2,357000.0,178500.0,178500.0,178500.0,178500.0,0.0,2023-07-13,2023-08-08,26,26.0,26.0,0.0,5950.0,5950.0,30.0,0.5,0,0.0,0,0.0,0,0.0,0,0.0,1,178500.0,0.5
MPLADS-000060,3,3757000.0,1252333.33,1252300.0,1252300.0,1252400.0,57.74,2022-08-20,2023-01-11,144,72.0,72.0,0.0,17890.48,17891.43,70.0,0.3334,0,0.0,0,0.0,0,0.0,0,0.0,1,1252400.0,0.3334
MPLADS-000061,3,4081000.0,1360333.33,1360300.0,1360300.0,1360400.0,57.74,2023-03-12,2023-05-23,72,36.0,36.0,0.0,45344.44,45346.67,30.0,0.3333,0,0.0,0,0.0,0,0.0,0,0.0,1,1360400.0,0.3333
MPLADS-000062,3,1886000.0,628666.67,628700.0,628600.0,628700.0,57.74,2023-06-05,2023-08-29,85,42.5,42.5,0.71,15716.67,15717.5,40.0,0.3334,0,0.0,0,0.0,0,0.0,0,0.0,1,628600.0,0.3333
MPLADS-000063,3,3916000.0,1305333.33,1305300.0,1305300.0,1305400.0,57.74,2023-11-26,2024-03-25,120,60.0,60.0,0.0,21755.56,21756.67,60.0,0.3334,0,0.0,0,0.0,0,0.0,0,0.0,1,1305400.0,0.3334
MPLADS-000064,3,3652000.0,1217333.33,1217300.0,1217300.0,1217400.0,57.74,2023-04-16,2024-10-27,560,280.0,280.0,0.0,17390.48,17391.43,70.0,0.3334,0,0.0,0,0.0,0,0.0,0,0.0,1,1217400.0,0.3334
MPLADS-000065,3,18489000.0,6163000.0,6163000.0,6163000.0,6163000.0,0.0,2022-07-25,2023-05-01,280,140.0,140.0,0.0,46222.5,46222.5,133.3,0.3333,0,0.0,0,0.0,0,0.0,0,0.0,1,6163000.0,0.3333
MPLADS-000066,2,535000.0,267500.0,267500.0,267500.0,267500.0,0.0,2023-07-10,2023-09-03,55,55.0,55.0,0.0,5944.44,5944.44,45.0,0.5,0,0.0,0,0.0,0,0.0,0,0.0,1,267500.0,0.5
MPLADS-000067,3,1237000.0,412333.33,412300.0,412300.0,412400.0,57.74,2023-10-25,2024-04-04,162,81.0,81.0,0.0,5890.48,5891.43,70.0,0.3334,0,0.0,0,0.0,0,0.0,0,0.0,1,412400.0,0.3334
MPLADS-000068,3,2225000.0,741666.67,741700.0,741600.0,741700.0,57.74,2022-06-14,2022-09-28,106,53.0,53.0,0.0,13906.25,13906.88,53.3,0.3333,0,0.0,0,0.0,0,0.0,0,0.0,1,741600.0,0.3333
MPLADS-000069,3,2338000.0,779333.33,779300.0,779300.0,779400.0,57.74,2023-06-22,2023-10-26,126,63.0,63.0,0.0,12988.89,12990.0,60.0,0.3334,0,0.0,0,0.0,0,0.0,0,0.0,1,779400.0,0.3334
MPLADS-000070,3,10903000.0,3634333.33,3634300.0,3634300.0,3634400.0,57.74,2022-11-23,2023-09-01,282,141.0,141.0,0.0,27257.5,27258.0,133.3,0.3333,0,0.0,0,0.0,0,0.0,0,0.0,1,3634400.0,0.3333
MPLADS-000071,3,1819000.0,606333.33,606300.0,606300.0,606400.0,57.74,2022-07-26,2022-09-02,38,19.0,19.0,0.0,30316.67,30320.0,20.0,0.3334,0,0.0,0,0.0,0,0.0,0,0.0,1,606400.0,0.3334
MPLADS-000072,3,1944000.0,648000.0,648000.0,648000.0,648000.0,0.0,2022-08-26,2022-12-27,123,61.5,61.5,0.71,12960.0,12960.0,50.0,0.3333,0,0.0,0,0.0,3,1.0,0,0.0,1,648000.0,0.3333
MPLADS-000073,3,2410000.0,803333.33,803300.0,803300.0,803400.0,57.74,2023-12-16,2024-04-03,109,54.5,54.5,0.71,16066.67,16068.0,50.0,0.3334,0,0.0,0,0.0,0,0.0,0,0.0,1,803400.0,0.3334
MPLADS-000074,2,670000.0,335000.0,335000.0,335000.0,335000.0,0.0,2022-07-23,2022-09-13,52,52.0,52.0,0.0,7444.44,7444.44,45.0,0.5,0,0.0,0,0.0,0,0.0,0,0.0,1,335000.0,0.5
MPLADS-000075,3,3670000.0,1223333.33,1223300.0,1223300.0,1223400.0,57.74,2023-07-13,2023-11-28,138,69.0,69.0,0.0,20388.89,20390.0,60.0,0.3334,0,0.0,0,0.0,0,0.0,0,0.0,1,1223400.0,0.3334
MPLADS-000076,3,12450000.0,4150000.0,4150000.0,4150000.0,4150000.0,0.0,2022-05-07,2022-09-05,121,60.5,60.5,0.71,69166.67,69166.67,60.0,0.3333,0,0.0,0,0.0,0,0.0,3,1.0,1,4150000.0,0.3333
MPLADS-000077,3,2573000.0,857666.67,857700.0,857600.0,857700.0,57.74,2023-10-20,2024-03-30,162,81.0,81.0,0.0,12252.38,12252.86,70.0,0.3333,0,0.0,0,0.0,0,0.0,0,0.0,1,857600.0,0.3333
MPLADS-000078,3,1782000.0,594000.0,594000.0,594000.0,594000.0,0.0,2023-07-18,2023-10-19,93,46.5,46.5,0.71,14850.0,14850.0,40.0,0.3333,0,0.0,0,0.0,0,0.0,0,0.0,1,594000.0,0.3333
MPLADS-000079,2,551000.0,275500.0,275500.0,275500.0,275500.0,0.0,2023-09-13,2023-10-23,40,40.0,40.0,0.0,9183.33,9183.33,30.0,0.5,0,0.0,0,0.0,0,0.0,0,0.0,1,275500.0,0.5
MPLADS-000080,3,1710000.0,570000.0,570000.0,570000.0,570000.0,0.0,2024-03-04,2024-05-23,80,40.0,40.0,0.0,14250.0,14250.0,40.0,0.3333,0,0.0,1,0.3333,0,0.0,0,0.0,1,570000.0,0.3333
MPLADS-000081,3,2510000.0,836666.67,836700.0,836600.0,836700.0,57.74,2022-05-27,2022-10-21,147,73.5,73.5,0.71,11952.38,11952.86,70.0,0.3333,0,0.0,0,0.0,0,0.0,0,0.0,1,836600.0,0.3333
MPLADS-000082,3,1643000.0,547666.67,547700.0,547600.0,547700.0,57.74,2022-11-27,2023-04-01,125,62.5,62.5,0.71,9127.78,9128.33,60.0,0.3334,0,0.0,0,0.0,0,0.0,0,0.0,1,547600.0,0.3333
MPLADS-000083,3,8279000.0,2759666.67,2759700.0,2759600.0,2759700.0,57.74,2022-12-19,2023-09-29,284,142.0,142.0,0.0,20697.5,20697.75,133.3,0.3333,0,0.0,0,0.0,0,0.0,0,0.0,1,2759600.0,0.3333
MPLADS-000084,3,1534000.0,511333.33,511300.0,511300.0,511400.0,57.74,2023-09-15,2024-11-15,427,213.5,213.5,0.71,9587.5,9588.75,53.3,0.3334,0,0.0,0,0.0,0,0.0,0,0.0,1,511400.0,0.3334
MPLADS-000085,3,2325000.0,775000.0,775000.0,775000.0,775000.0,0.0,2022-11-15,2023-03-10,115,57.5,57.5,0.71,14531.25,14531.25,53.3,0.3333,0,0.0,0,0.0,0,0.0,0,0.0,1,775000.0,0.3333
MPLADS-000086,3,12569000.0,4189666.67,4189700.0,4189600.0,4189700.0,57.74,2023-12-27,2024-09-21,269,134.5,134.5,0.71,31422.5,31422.75,133.3,0.3333,0,0.0,0,0.0,0,0.0,0,0.0,1,4189600.0,0.3333
MPLADS-000087,3,1096000.0,365333.33,365300.0,365300.0,365400.0,57.74,2023-05-25,2023-09-10,108,54.0,54.0,0.0,7306.67,7308.0,50.0,0.3334,0,0.0,0,0.0,0,0.0,0,0.0,1,365400.0,0.3334
MPLADS-000088,3,12785000.0,4261666.67,4261700.0,4261600.0,4261700.0,57.74,2023-09-01,2024-06-10,283,141.5,141.5,0.71,31962.5,31962.75,133.3,0.3333,0,0.0,0,0.0,3,1.0,0,0.0,1,4261600.0,0.3333
MPLADS-000089,3,1916000.0,638666.67,638700.0,638600.0,638700.0,57.74,2024-01-07,2024-05-14,128,64.0,64.0,0.0,10644.44,10645.0,60.0,0.3334,0,0.0,0,0.0,0,0.0,0,0.0,1,638600.0,0.3333
MPLADS-000090,3,9165000.0,3055000.0,3055000.0,3055000.0,3055000.0,0.0,2023-10-11,2024-07-10,273,136.5,136.5,0.71,22912.5,22912.5,133.3,0.3333,0,0.0,0,0.0,0,0.0,0,0.0,1,3055000.0,0.3333
MPLADS-000091,3,2348000.0,782666.67,782700.0,782600.0,782700.0,57.74,2023-08-30,2023-11-24,86,43.0,43.0,0.0,19566.67,19567.5,40.0,0.3333,0,0.0,0,0.0,0,0.0,0,0.0,1,782600.0,0.3333
MPLADS-000092,3,1554000.0,518000.0,518000.0,518000.0,518000.0,0.0,2023-12-21,2024-04-15,116,58.0,58.0,0.0,10360.0,10360.0,50.0,0.3333,0,0.0,0,0.0,0,0.0,0,0.0,1,518000.0,0.3333
MPLADS-000093,3,3286000.0,1095333.33,1095300.0,1095300.0,1095400.0,57.74,2022-10-01,2023-01-29,120,60.0,60.0,0.0,18255.56,18256.67,60.0,0.3334,0,0.0,0,0.0,0,0.0,0,0.0,1,1095400.0,0.3334
MPLADS-000094,3,12324000.0,4108000.0,4108000.0,4108000.0,4108000.0,0.0,2023-04-14,2023-09-20,159,79.5,79.5,0.71,58685.71,58685.71,70.0,0.3333,0,0.0,0,0.0,0,0.0,0,0.0,1,4108000.0,0.3333
MPLADS-000095,3,4000000.0,1333333.33,1333300.0,1333300.0,1333400.0,57.74,2022-04-26,2022-08-16,112,56.0,56.0,0.0,25000.0,25001.25,53.3,0.3333,0,0.0,0,0.0,0,0.0,0,0.0,1,1333400.0,0.3333
MPLADS-000096,3,1410000.0,470000.0,470000.0,470000.0,470000.0,0.0,2023-03-21,2023-07-04,105,52.5,52.5,0.71,8812.5,8812.5,53.3,0.3333,0,0.0,0,0.0,0,0.0,0,0.0,1,470000.0,0.3333
MPLADS-000097,3,4435000.0,1478333.33,1478300.0,1478300.0,1478400.0,57.74,2023-02-09,2023-11-03,267,133.5,133.5,0.71,11087.5,11088.0,133.3,0.3333,0,0.0,0,0.0,0,0.0,0,0.0,1,1478400.0,0.3333
MPLADS-000098,3,2499000.0,833000.0,833000.0,833000.0,833000.0,0.0,2022-06-19,2022-10-26,129,64.5,64.5,0.71,15618.75,15618.75,53.3,0.3333,0,0.0,0,0.0,0,0.0,0,0.0,1,833000.0,0.3333
MPLADS-000099,3,1028000.0,342666.67,342700.0,342600.0,342700.0,57.74,2024-01-07,2024-03-17,70,35.0,35.0,0.0,11422.22,11423.33,30.0,0.3334,0,0.0,1,0.3333,0,0.0,0,0.0,1,342600.0,0.3333
MPLADS-000100,3,1532000.0,510666.67,510700.0,510600.0,510700.0,57.74,2023-07-13,2023-10-30,109,54.5,54.5,0.71,10213.33,10214.0,50.0,0.3334,0,0.0,0,0.0,0,0.0,0,0.0,1,510600.0,0.3333
MPLADS-000101,3,2337000.0,779000.0,779000.0,779000.0,779000.0,0.0,2023-09-22,2024-01-02,102,51.0,51.0,0.0,14606.25,14606.25,53.3,0.3333,0,0.0,0,0.0,0,0.0,0,0.0,1,779000.0,0.3333
MPLADS-000102,3,10303000.0,3434333.33,3434300.0,3434300.0,3434400.0,57.74,2023-11-27,2024-08-18,265,132.5,132.5,0.71,25757.5,25758.0,133.3,0.3333,0,0.0,0,0.0,0,0.0,0,0.0,1,3434400.0,0.3333
MPLADS-000103,3,3258000.0,1086000.0,1086000.0,1086000.0,1086000.0,0.0,2022-10-14,2023-03-07,144,72.0,72.0,0.0,15514.29,15514.29,70.0,0.3333,0,0.0,0,0.0,3,1.0,0,0.0,1,1086000.0,0.3333
MPLADS-000104,3,2103000.0,701000.0,701000.0,701000.0,701000.0,0.0,2022-04-09,2022-07-31,113,56.5,56.5,0.71,13143.75,13143.75,53.3,0.3333,0,0.0,0,0.0,0,0.0,0,0.0,1,701000.0,0.3333
MPLADS-000105,2,907000.0,453500.0,453500.0,453500.0,453500.0,0.0,2023-08-28,2023-10-11,44,44.0,44.0,0.0,10077.78,10077.78,45.0,0.5,0,0.0,0,0.0,0,0.0,0,0.0,1,453500.0,0.5
MPLADS-000106,2,623000.0,311500.0,311500.0,311500.0,311500.0,0.0,2022-09-22,2022-10-30,38,38.0,38.0,0.0,10383.33,10383.33,30.0,0.5,0,0.0,0,0.0,0,0.0,0,0.0,1,311500.0,0.5
MPLADS-000107,3,2324000.0,774666.67,774700.0,774600.0,774700.0,57.74,2022-12-02,2023-04-27,146,73.0,73.0,0.0,11066.66,11067.14,70.0,0.3333,0,0.0,0,0.0,0,0.0,0,0.0,1,774600.0,0.3333
MPLADS-000108,3,1934000.0,644666.67,644700.0,644600.0,644700.0,57.74,2023-08-17,2023-11-05,80,40.0,40.0,0.0,16116.67,16117.5,40.0,0.3334,0,0.0,0,0.0,0,0.0,0,0.0,1,644600.0,0.3333
