project_id,fraud_probability,predicted_typology,feature_importance_contributions,scored_at
MPLADS-000046,1.0,COST_OVERRUN,"{""progress_anomaly_score"": 4.4323, ""progress_anomaly_percentile"": 0.7398, ""procurement_anomaly_score"": 0.2568}",2026-09-06T09:45:06.494738+00:00
MPLADS-000047,0.0412,NORMAL,"{""geo__population_density"": 0.1444, ""graph_anomaly_score"": 0.0624, ""procurement_anomaly_percentile"": 0.0609}",2026-09-06T09:45:06.494738+00:00
MPLADS-000048,0.0262,NORMAL,"{""geo__population_density"": 0.1749, ""procurement_anomaly_percentile"": 0.0496, ""project__planned_duration_days"": 0.0478}",2026-09-06T09:45:06.494738+00:00
MPLADS-000049,0.011,NORMAL,"{""project__planned_duration_days"": 0.0599, ""mean_anomaly_score"": 0.0385, ""geo__population_density"": 0.0305}",2026-09-06T09:45:06.494738+00:00
MPLADS-000050,0.0182,NORMAL,"{""geo__infrastructure_gap_index"": 0.1556, ""project__planned_duration_days"": 0.056, ""geospatial_anomaly_score"": 0.0393}",2026-09-06T09:45:06.494738+00:00
MPLADS-000051,0.0225,NORMAL,"{""project__planned_duration_days"": 0.0611, ""geo__infrastructure_gap_index"": 0.0554, ""financial__sanctioned_amount"": 0.0382}",2026-09-06T09:45:06.494738+00:00
MPLADS-000052,1.0,DELAYED_WORK,"{""progress_anomaly_score"": 5.0659, ""progress_anomaly_percentile"": 0.8486, ""financial_anomaly_score"": 0.184}",2026-09-06T09:45:06.494738+00:00
MPLADS-000053,0.0345,NORMAL,"{""financial__sanctioned_amount"": 0.2557, ""geo__population_density"": 0.1786, ""geo__infrastructure_gap_index"": 0.1573}",2026-09-06T09:45:06.494738+00:00
MPLADS-000054,0.0412,NORMAL,"{""procurement_anomaly_score"": 0.557, ""procurement_anomaly_percentile"": 0.3278, ""payment_anomaly_score"": 0.2058}",2026-09-06T09:45:06.494738+00:00
MPLADS-000055,0.0182,NORMAL,"{""geo__population_density"": 0.1242, ""project__planned_duration_days"": 0.0628, ""max_anomaly_score"": 0.0485}",2026-09-06T09:45:06.494738+00:00
MPLADS-000056,0.0265,NORMAL,"{""financial_anomaly_score"": 0.2757, ""geo__population_density"": 0.1243, ""financial__sanctioned_amount"": 0.0606}",2026-09-06T09:45:06.494738+00:00
MPLADS-000057,0.0442,NORMAL,"{""financial__sanctioned_amount"": 0.3455, ""procurement_anomaly_percentile"": 0.2341, ""geo__infrastructure_gap_index"": 0.1149}",2026-09-06T09:45:06.494738+00:00
MPLADS-000058,0.0182,NORMAL,"{""geospatial_anomaly_score"": 0.2386, ""project__planned_duration_days"": 0.0549, ""mean_anomaly_score"": 0.0505}",2026-09-06T09:45:06.494738+00:00
MPLADS-000059,0.0231,NORMAL,"{""financial__sanctioned_amount"": 0.2536, ""financial_anomaly_percentile"": 0.111, ""geo__infrastructure_gap_index"": 0.1005}",2026-09-06T09:45:06.494738+00:00
MPLADS-000060,0.011,NORMAL,"{""mean_anomaly_score"": 0.0677, ""project__planned_duration_days"": 0.0544, ""contractor_anomaly_score"": 0.0033}",2026-09-06T09:45:06.494738+00:00
MPLADS-000061,0.0046,NORMAL,"{""financial_anomaly_score"": 0.0329, ""payment_anomaly_percentile"": 0.0304, ""financial_anomaly_percentile"": 0.0216}",2026-09-06T09:45:06.494738+00:00
MPLADS-000062,0.0231,NORMAL,"{""geo__infrastructure_gap_index"": 0.0824, ""financial__sanctioned_amount"": 0.0148, ""contractor_anomaly_percentile"": 0.0018}",2026-09-06T09:45:06.494738+00:00
MPLADS-000063,1.0,COST_OVERRUN,"{""progress_anomaly_score"": 2.5387, ""procurement_anomaly_score"": 0.4738, ""financial_anomaly_score"": 0.3634}",2026-09-06T09:45:06.494738+00:00
MPLADS-000064,1.0,DELAYED_WORK,"{""progress_anomaly_score"": 4.5548, ""progress_anomaly_percentile"": 0.9096, ""procurement_anomaly_score"": 0.2691}",2026-09-06T09:45:06.494738+00:00
MPLADS-000065,1.0,COST_OVERRUN,"{""progress_anomaly_score"": 4.801, ""progress_anomaly_percentile"": 0.9428, ""procurement_anomaly_score"": 0.2524}",2026-09-06T09:45:06.494738+00:00
MPLADS-000066,0.6205,PROCUREMENT_SINGLE_BID,"{""procurement_anomaly_score"": 1.5357, ""procurement_anomaly_percentile"": 0.6919, ""max_anomaly_score"": 0.1951}",2026-09-06T09:45:06.494738+00:00
MPLADS-000067,1.0,ABANDONED_WORK,"{""progress_anomaly_score"": 5.2882, ""progress_anomaly_percentile"": 0.9284, ""financial_anomaly_score"": 0.1283}",2026-09-06T09:45:06.494738+00:00
MPLADS-000068,0.7746,COST_OVERRUN,"{""procurement_anomaly_score"": 0.7284, ""procurement_anomaly_percentile"": 0.6826, ""financial_anomaly_score"": 0.6271}",2026-09-06T09:45:06.494738+00:00
MPLADS-000069,0.0182,NORMAL,"{""project__planned_duration_days"": 0.0618, ""geospatial_anomaly_score"": 0.0413, ""geo__infrastructure_gap_index"": 0.0303}",2026-09-06T09:45:06.494738+00:00
MPLADS-000070,0.0182,NORMAL,"{""financial_anomaly_score"": 0.0492, ""payment_anomaly_percentile"": 0.0379, ""payment_anomaly_score"": 0.0261}",2026-09-06T09:45:06.494738+00:00
MPLADS-000071,0.0182,NORMAL,"{""financial_anomaly_score"": 0.1085, ""financial_anomaly_percentile"": 0.1025, ""geo__infrastructure_gap_index"": 0.0676}",2026-09-06T09:45:06.494738+00:00
MPLADS-000072,1.0,PAYMENT_PROGRESS_MISMATCH,"{""progress_anomaly_score"": 5.3669, ""progress_anomaly_percentile"": 0.9656, ""payment_anomaly_score"": 0.1135}",2026-09-06T09:45:06.494738+00:00
MPLADS-000073,1.0,COST_OVERRUN,"{""progress_anomaly_score"": 4.401, ""progress_anomaly_percentile"": 0.7997, ""procurement_anomaly_score"": 0.3165}",2026-09-06T09:45:06.494738+00:00
MPLADS-000074,0.0153,NORMAL,"{""financial__sanctioned_amount"": 0.1622, ""contractor_anomaly_score"": 0.0102, ""num_flagged_models"": 0.0014}",2026-09-06T09:45:06.494738+00:00
MPLADS-000075,1.0,COST_OVERRUN,"{""progress_anomaly_score"": 4.3839, ""progress_anomaly_percentile"": 0.7935, ""procurement_anomaly_score"": 0.2834}",2026-09-06T09:45:06.494738+00:00
MPLADS-000076,0.011,NORMAL,"{""geo__infrastructure_gap_index"": 0.0518, ""financial_anomaly_percentile"": 0.047, ""std_anomaly_score"": 0.0449}",2026-09-06T09:45:06.494738+00:00
MPLADS-000077,0.0225,NORMAL,"{""geo__population_density"": 0.1302, ""geospatial_anomaly_score"": 0.0715, ""project__planned_duration_days"": 0.0413}",2026-09-06T09:45:06.494738+00:00
MPLADS-000078,0.0182,NORMAL,"{""mean_anomaly_score"": 0.102, ""financial__sanctioned_amount"": 0.0171, ""graph_anomaly_percentile"": 0.011}",2026-09-06T09:45:06.494738+00:00
MPLADS-000079,0.0225,NORMAL,"{""payment_anomaly_score"": 0.1433, ""geo__infrastructure_gap_index"": 0.1404, ""financial__sanctioned_amount"": 0.1197}",2026-09-06T09:45:06.494738+00:00
MPLADS-000080,0.0375,NORMAL,"{""geospatial_anomaly_score"": 0.0984, ""geo__infrastructure_gap_index"": 0.085, ""std_anomaly_score"": 0.0594}",2026-09-06T09:45:06.494738+00:00
MPLADS-000081,0.011,NORMAL,"{""geo__infrastructure_gap_index"": 0.0587, ""project__planned_duration_days"": 0.0492, ""contractor_anomaly_score"": 0.0082}",2026-09-06T09:45:06.494738+00:00
MPLADS-000082,0.0182,NORMAL,"{""project__planned_duration_days"": 0.0434, ""contractor_anomaly_score"": 0.0197, ""procurement_anomaly_percentile"": 0.0175}",2026-09-06T09:45:06.494738+00:00
MPLADS-000083,0.011,NORMAL,"{""financial_anomaly_score"": 0.062, ""financial_anomaly_percentile"": 0.0453, ""project__planned_duration_days"": 0.0319}",2026-09-06T09:45:06.494738+00:00
MPLADS-000084,1.0,DELAYED_WORK,"{""progress_anomaly_score"": 5.0808, ""progress_anomaly_percentile"": 0.875, ""financial_anomaly_score"": 0.1994}",2026-09-06T09:45:06.494738+00:00
MPLADS-000085,0.0225,NORMAL,"{""geo__infrastructure_gap_index"": 0.269, ""geospatial_anomaly_score"": 0.1456, ""project__planned_duration_days"": 0.0662}",2026-09-06T09:45:06.494738+00:00
MPLADS-000086,0.0182,NORMAL,"{""geo__population_density"": 0.0926, ""geo__infrastructure_gap_index"": 0.0464, ""financial_anomaly_percentile"": 0.0437}",2026-09-06T09:45:06.494738+00:00
MPLADS-000087,0.0314,NORMAL,"{""contractor_anomaly_percentile"": 0.2022, ""contractor_anomaly_score"": 0.1874, ""geo__infrastructure_gap_index"": 0.1238}",2026-09-06T09:45:06.494738+00:00
MPLADS-000088,1.0,PAYMENT_PROGRESS_MISMATCH,"{""progress_anomaly_score"": 5.5252, ""progress_anomaly_percentile"": 1.0003, ""payment_anomaly_score"": 0.3105}",2026-09-06T09:45:06.494738+00:00
MPLADS-000089,0.0225,NORMAL,"{""geospatial_anomaly_score"": 0.1452, ""geo__infrastructure_gap_index"": 0.0561, ""project__planned_duration_days"": 0.047}",2026-09-06T09:45:06.494738+00:00
MPLADS-000090,0.0182,NORMAL,"{""financial_anomaly_score"": 0.0537, ""project__planned_duration_days"": 0.0498, ""financial_anomaly_percentile"": 0.0437}",2026-09-06T09:45:06.494738+00:00
MPLADS-000091,0.0182,NORMAL,"{""geo__infrastructure_gap_index"": 0.0573, ""financial__sanctioned_amount"": 0.0173, ""graph_anomaly_percentile"": 0.0081}",2026-09-06T09:45:06.494738+00:00
MPLADS-000092,0.0231,NORMAL,"{""contractor_anomaly_score"": 0.1362, ""contractor_anomaly_percentile"": 0.1085, ""project__planned_duration_days"": 0.0528}",2026-09-06T09:45:06.494738+00:00
MPLADS-000093,0.0225,NORMAL,"{""procurement_anomaly_percentile"": 0.157, ""project__planned_duration_days"": 0.0553, ""graph_anomaly_percentile"": 0.0144}",2026-09-06T09:45:06.494738+00:00
MPLADS-000094,0.0067,NORMAL,"{""financial_anomaly_score"": 0.1302, ""financial_anomaly_percentile"": 0.0554, ""project__planned_duration_days"": 0.0438}",2026-09-06T09:45:06.494738+00:00
MPLADS-000095,1.0,COST_OVERRUN,"{""progress_anomaly_score"": 4.6144, ""progress_anomaly_percentile"": 0.8285, ""procurement_anomaly_score"": 0.2542}",2026-09-06T09:45:06.494738+00:00
MPLADS-000096,0.0231,NORMAL,"{""geospatial_anomaly_score"": 0.0709, ""financial__sanctioned_amount"": 0.0544, ""project__planned_duration_days"": 0.0524}",2026-09-06T09:45:06.494738+00:00
MPLADS-000097,1.0,ABANDONED_WORK,"{""progress_anomaly_score"": 4.9644, ""progress_anomaly_percentile"": 0.9337, ""payment_anomaly_score"": 0.3702}",2026-09-06T09:45:06.494738+00:00
MPLADS-000098,0.0231,NORMAL,"{""geo__population_density"": 0.3232, ""geospatial_anomaly_score"": 0.0566, ""project__planned_duration_days"": 0.0201}",2026-09-06T09:45:06.494738+00:00
MPLADS-000099,0.0231,NORMAL,"{""payment_anomaly_score"": 0.095, ""financial_anomaly_percentile"": 0.0527, ""geospatial_anomaly_score"": 0.0522}",2026-09-06T09:45:06.494738+00:00
MPLADS-000100,0.0308,NORMAL,"{""geo__population_density"": 0.2404, ""geo__infrastructure_gap_index"": 0.2219, ""geospatial_anomaly_score"": 0.0934}",2026-09-06T09:45:06.494738+00:00
MPLADS-000101,0.0182,NORMAL,"{""contractor_anomaly_score"": 0.1057, ""contractor_anomaly_percentile"": 0.0994, ""project__planned_duration_days"": 0.0431}",2026-09-06T09:45:06.494738+00:00
MPLADS-000102,0.011,NORMAL,"{""financial_anomaly_percentile"": 0.0562, ""geo__population_density"": 0.0338, ""project__planned_duration_days"": 0.0268}",2026-09-06T09:45:06.494738+00:00
MPLADS-000103,1.0,PAYMENT_PROGRESS_MISMATCH,"{""progress_anomaly_score"": 4.5902, ""progress_anomaly_percentile"": 0.9012, ""procurement_anomaly_score"": 0.3027}",2026-09-06T09:45:06.494738+00:00
MPLADS-000104,0.0182,NORMAL,"{""geo__infrastructure_gap_index"": 0.2521, ""project__planned_duration_days"": 0.0533, ""geospatial_anomaly_score"": 0.0256}",2026-09-06T09:45:06.494738+00:00
MPLADS-000105,0.403,NORMAL,"{""procurement_anomaly_score"": 1.4553, ""procurement_anomaly_percentile"": 0.5459, ""geospatial_anomaly_score"": 0.2298}",2026-09-06T09:45:06.494738+00:00
MPLADS-000106,0.0231,NORMAL,"{""financial__sanctioned_amount"": 0.2146, ""geo__infrastructure_gap_index"": 0.0919, ""geospatial_anomaly_score"": 0.0912}",2026-09-06T09:45:06.494738+00:00
MPLADS-000107,0.0231,NORMAL,"{""geo__population_density"": 0.3667, ""std_anomaly_score"": 0.0765, ""project__planned_duration_days"": 0.0647}",2026-09-06T09:45:06.494738+00:00
MPLADS-000108,0.0265,NORMAL,"{""financial__sanctioned_amount"": 0.0282, ""financial_anomaly_score"": 0.0097, ""graph_anomaly_percentile"": 0.007}",2026-09-06T09:45:06.494738+00:00
MPLADS-000109,0.0182,NORMAL,"{""financial__sanctioned_amount"": 0.2299, ""geo__infrastructure_gap_index"": 0.1756, ""payment_anomaly_score"": 0.0772}",2026-09-06T09:45:06.494738+00:00
MPLADS-000110,0.0525,NORMAL,"{""financial__sanctioned_amount"": 0.2575, ""geo__population_density"": 0.2067, ""geo__infrastructure_gap_index"": 0.1822}",2026-09-06T09:45:06.494738+00:00
MPLADS-000111,0.0314,NORMAL,"{""geo__infrastructure_gap_index"": 0.1162, ""graph_anomaly_score"": 0.0484, ""project__planned_duration_days"": 0.0354}",2026-09-06T09:45:06.494738+00:00
MPLADS-000112,0.0182,NORMAL,"{""procurement_anomaly_score"": 0.3364, ""procurement_anomaly_percentile"": 0.3277, ""std_anomaly_score"": 0.0332}",2026-09-06T09:45:06.494738+00:00
MPLADS-000113,0.0225,NORMAL,"{""financial__sanctioned_amount"": 0.0411, ""geospatial_anomaly_percentile"": 0.0152, ""num_flagged_models"": 0.0014}",2026-09-06T09:45:06.494738+00:00
MPLADS-000114,0.0231,NORMAL,"{""financial__sanctioned_amount"": 0.2761, ""payment_anomaly_score"": 0.0993, ""geo__population_density"": 0.0949}",2026-09-06T09:45:06.494738+00:00
MPLADS-000115,0.0231,NORMAL,"{""geo__population_density"": 0.1779, ""geospatial_anomaly_score"": 0.0838, ""project__planned_duration_days"": 0.0624}",2026-09-06T09:45:06.494738+00:00
MPLADS-000116,0.0231,NORMAL,"{""financial__sanctioned_amount"": 0.3562, ""graph_anomaly_score"": 0.0895, ""payment_anomaly_score"": 0.0694}",2026-09-06T09:45:06.494738+00:00
MPLADS-000117,0.0225,NORMAL,"{""geo__population_density"": 0.1691, ""mean_anomaly_score"": 0.083, ""project__planned_duration_days"": 0.0312}",2026-09-06T09:45:06.494738+00:00
MPLADS-000118,0.021,NORMAL,"{""geo__population_density"": 0.4763, ""geospatial_anomaly_score"": 0.2245, ""geospatial_anomaly_percentile"": 0.0846}",2026-09-06T09:45:06.494738+00:00
MPLADS-000119,1.0,COST_OVERRUN,"{""progress_anomaly_score"": 4.4954, ""progress_anomaly_percentile"": 0.813, ""procurement_anomaly_score"": 0.2613}",2026-09-06T09:45:06.494738+00:00
MPLADS-000120,1.0,DOCUMENTATION_DEFICIT,"{""progress_anomaly_score"": 5.0923, ""progress_anomaly_percentile"": 0.9018, ""payment_anomaly_score"": 0.2456}",2026-09-06T09:45:06.494738+00:00
MPLADS-000121,0.0182,NORMAL,"{""contractor_anomaly_percentile"": 0.2959, ""contractor_anomaly_score"": 0.2243, ""graph_anomaly_percentile"": 0.0458}",2026-09-06T09:45:06.494738+00:00
MPLADS-000122,1.0,DELAYED_WORK,"{""progress_anomaly_score"": 4.5177, ""progress_anomaly_percentile"": 0.8222, ""procurement_anomaly_score"": 0.2172}",2026-09-06T09:45:06.494738+00:00
MPLADS-000123,0.3136,NORMAL,"{""procurement_anomaly_score"": 1.4789, ""procurement_anomaly_percentile"": 0.5288, ""geospatial_anomaly_percentile"": 0.1429}",2026-09-06T09:45:06.494738+00:00
MPLADS-000124,0.0308,NORMAL,"{""geo__population_density"": 0.1585, ""geo__infrastructure_gap_index"": 0.1452, ""financial__sanctioned_amount"": 0.0916}",2026-09-06T09:45:06.494738+00:00
MPLADS-000125,1.0,COST_OVERRUN,"{""progress_anomaly_score"": 4.4675, ""progress_anomaly_percentile"": 0.7682, ""procurement_anomaly_score"": 0.2383}",2026-09-06T09:45:06.494738+00:00
MPLADS-000126,0.0182,NORMAL,"{""financial__sanctioned_amount"": 0.1938, ""std_anomaly_score"": 0.0504, ""payment_anomaly_percentile"": 0.0278}",2026-09-06T09:45:06.494738+00:00
MPLADS-000127,0.0088,NORMAL,"{""financial_anomaly_score"": 0.0403, ""financial_anomaly_percentile"": 0.0283, ""std_anomaly_score"": 0.0181}",2026-09-06T09:45:06.494738+00:00
MPLADS-000128,0.0231,NORMAL,"{""financial_anomaly_score"": 0.2398, ""geo__population_density"": 0.1059, ""financial_anomaly_percentile"": 0.1042}",2026-09-06T09:45:06.494738+00:00
MPLADS-000129,1.0,PAYMENT_PROGRESS_MISMATCH,"{""progress_anomaly_score"": 5.2951, ""progress_anomaly_percentile"": 0.9499, ""payment_anomaly_score"": 0.0806}",2026-09-06T09:45:06.494738+00:00
MPLADS-000130,0.3136,NORMAL,"{""procurement_anomaly_score"": 1.4561, ""procurement_anomaly_percentile"": 0.5813, ""geospatial_anomaly_score"": 0.1206}",2026-09-06T09:45:06.494738+00:00
MPLADS-000131,1.0,COST_OVERRUN,"{""progress_anomaly_score"": 4.5127, ""progress_anomaly_percentile"": 0.8254, ""procurement_anomaly_score"": 0.2414}",2026-09-06T09:45:06.494738+00:00
MPLADS-000132,0.0225,NORMAL,"{""geo__population_density"": 0.3555, ""financial_anomaly_score"": 0.2022, ""project__planned_duration_days"": 0.0987}",2026-09-06T09:45:06.494738+00:00
MPLADS-000133,0.5278,PROCUREMENT_SINGLE_BID,"{""procurement_anomaly_score"": 1.7928, ""procurement_anomaly_percentile"": 0.8755, ""max_anomaly_score"": 0.1564}",2026-09-06T09:45:06.494738+00:00
MPLADS-000134,0.0225,NORMAL,"{""geospatial_anomaly_score"": 0.1703, ""project__planned_duration_days"": 0.0615, ""financial__sanctioned_amount"": 0.04}",2026-09-06T09:45:06.494738+00:00
MPLADS-000135,0.2371,NORMAL,"{""procurement_anomaly_score"": 1.3292, ""procurement_anomaly_percentile"": 0.3582, ""geospatial_anomaly_score"": 0.1122}",2026-09-06T09:45:06.494738+00:00
