project_id,progress_anomaly_score,progress_anomaly_percentile,is_progress_anomaly,financial_minus_physical_progress,latest_physical_progress,latest_financial_progress,duration_overrun_days,ghost_work_index,execution_stall_score,baseline1_score,primary_reason,secondary_reason,tertiary_reason
MPLADS-000112,21.1,39.64,0,20.5,73.9,94.4,0.0,0.0,0.0,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000113,30.79,57.28,0,-12.8,99.2,86.4,25.0,0.0,0.0022,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000114,31.78,58.98,0,14.7,79.7,94.4,0.0,0.0,0.0,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000115,5.86,8.94,0,-3.3,91.1,87.8,0.0,0.0,0.0,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000116,40.52,72.74,0,18.4,72.0,90.4,5.0,0.0,0.0001,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000117,18.88,35.28,0,0.1,87.9,88.0,0.0,0.0,0.0,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000118,27.87,52.36,0,-12.2,98.7,86.5,12.0,0.0,0.0036,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000119,63.9,87.18,0,69.5,84.8,154.3,30.0,0.0,0.0078,75.0,SEVERE_PHYSICAL_FINANCIAL_GAP,NONE,NONE
MPLADS-000120,85.51,98.3,1,20.8,74.9,95.7,24.0,0.0,0.0105,0.0,INSPECTION_DOCUMENTATION_DEFICIT,NONE,NONE
MPLADS-000121,22.8,42.92,0,18.7,72.1,90.8,24.0,0.0,0.0054,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000122,87.84,98.86,1,34.5,60.3,94.8,630.0,0.0,1.2054,75.0,EXTREME_DURATION_OVERRUN,STALLED_EXECUTION_TRAJECTORY,SEVERE_PHYSICAL_FINANCIAL_GAP
MPLADS-000123,14.48,26.36,0,7.1,88.3,95.4,0.0,0.0,0.0,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000124,31.82,59.06,0,19.4,73.6,93.0,0.0,0.0,0.0,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000125,62.58,86.82,0,58.7,99.5,158.2,0.0,0.0,0.0,75.0,SEVERE_PHYSICAL_FINANCIAL_GAP,NONE,NONE
MPLADS-000126,42.85,75.9,0,6.8,83.9,90.7,0.0,0.0,0.0,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000127,7.53,12.2,0,15.4,76.2,91.6,2.0,0.0,0.0009,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000128,48.37,81.52,0,4.5,83.9,88.4,0.0,0.0,0.0,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000129,71.55,91.86,0,68.8,18.4,87.2,0.0,0.0,0.0,75.0,SEVERE_PHYSICAL_FINANCIAL_GAP,ABANDONED_WORK_SUSPICION,INSPECTION_DOCUMENTATION_DEFICIT
MPLADS-000130,14.66,26.72,0,5.0,85.6,90.6,12.0,0.0,0.0005,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000131,56.62,84.96,0,56.7,87.8,144.5,9.0,0.0,0.0016,75.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000132,14.28,25.96,0,14.2,75.5,89.7,0.0,0.0,0.0,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000133,24.89,46.96,0,-3.5,98.1,94.6,0.0,0.0,0.0,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000134,6.39,9.96,0,2.9,92.3,95.2,23.0,0.0,0.0065,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000135,28.96,54.22,0,-5.1,99.3,94.2,12.0,0.0,0.0008,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000136,69.68,90.34,0,61.6,28.1,89.7,21.0,0.0,0.0286,75.0,SEVERE_PHYSICAL_FINANCIAL_GAP,INSPECTION_DOCUMENTATION_DEFICIT,NONE
MPLADS-000137,6.92,11.02,0,11.9,73.6,85.5,0.0,0.0,0.0,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000138,11.19,19.64,0,3.9,83.2,87.1,21.0,0.0,0.0073,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000139,49.77,82.48,0,40.5,89.8,130.3,21.0,0.0,0.0062,50.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000140,71.1,91.44,0,40.6,10.1,50.7,19.0,0.0,0.0393,50.0,SEVERE_PHYSICAL_FINANCIAL_GAP,ABANDONED_WORK_SUSPICION,NONE
MPLADS-000141,20.31,38.12,0,4.5,86.2,90.7,0.0,0.0,0.0,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000142,16.0,29.52,0,-0.1,91.5,91.4,13.0,0.0,0.0022,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000143,13.91,25.2,0,9.3,80.3,89.6,1.0,0.0,0.0001,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000144,13.91,25.18,0,11.3,75.5,86.8,26.0,0.0,0.0027,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000145,16.69,30.92,0,-0.5,88.0,87.5,8.0,0.0,0.0007,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000146,69.67,90.32,0,54.7,33.5,88.2,8.0,0.0,0.0059,75.0,SEVERE_PHYSICAL_FINANCIAL_GAP,INSPECTION_DOCUMENTATION_DEFICIT,NONE
MPLADS-000147,20.87,39.2,0,8.8,81.6,90.4,9.0,0.0,0.0004,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000148,9.96,17.12,0,8.8,84.0,92.8,0.0,0.0,0.0,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000149,17.77,33.08,0,0.7,89.5,90.2,23.0,0.0,0.0028,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000150,66.78,88.44,0,43.0,13.7,56.7,13.0,0.0,0.025,50.0,SEVERE_PHYSICAL_FINANCIAL_GAP,ABANDONED_WORK_SUSPICION,NONE
MPLADS-000151,20.35,38.18,0,-2.5,91.5,89.0,4.0,0.0,0.0001,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000152,38.95,70.48,0,3.9,87.9,91.8,0.0,0.0,0.0,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000153,38.0,69.04,0,7.0,88.0,95.0,26.0,0.0,0.0005,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000154,37.89,68.84,0,11.4,77.9,89.3,24.0,0.0,0.0262,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000155,48.47,81.64,0,21.9,70.2,92.1,28.0,0.0,0.0338,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000156,8.74,14.58,0,11.1,85.2,96.3,0.0,0.0,0.0,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000157,45.46,78.92,0,-4.6,98.5,93.9,0.0,0.0,0.0,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000158,1.77,1.54,0,11.3,77.1,88.4,0.0,0.0,0.0,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000159,30.85,57.4,0,-10.8,98.9,88.1,33.0,0.0,0.0061,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000160,14.98,27.4,0,18.2,77.6,95.8,0.0,0.0,0.0,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000161,42.48,75.38,0,17.7,73.9,91.6,21.0,0.0,0.0239,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000162,27.78,52.18,0,25.3,70.9,96.2,7.0,0.0,0.0023,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000163,35.54,65.12,0,12.3,75.5,87.8,20.0,0.0,0.0005,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000164,34.73,63.82,0,22.8,70.8,93.6,0.0,0.0,0.0,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000165,10.64,18.52,0,4.4,84.0,88.4,0.0,0.0,0.0,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000166,84.2,97.76,1,42.1,46.8,88.9,360.0,0.0,0.6057,75.0,EXTREME_DURATION_OVERRUN,SEVERE_PHYSICAL_FINANCIAL_GAP,STALLED_EXECUTION_TRAJECTORY
MPLADS-000167,27.0,50.8,0,-10.8,97.0,86.2,0.0,0.0,0.0,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000168,24.05,45.36,0,-6.2,91.7,85.5,0.0,0.0,0.0,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000169,64.96,87.42,0,47.6,16.0,63.6,8.0,0.0,0.0117,50.0,SEVERE_PHYSICAL_FINANCIAL_GAP,ABANDONED_WORK_SUSPICION,NONE
MPLADS-000170,32.32,59.88,0,1.9,95.7,97.6,0.0,0.0,0.0,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000171,84.27,97.82,1,5.9,79.6,85.5,9.0,0.0,0.0093,0.0,INSPECTION_DOCUMENTATION_DEFICIT,NONE,NONE
MPLADS-000172,56.47,84.94,0,36.3,97.4,133.7,2.0,0.0,0.0016,50.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000173,4.36,6.06,0,-4.2,90.9,86.7,5.0,0.0,0.0012,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000174,6.16,9.5,0,-2.6,92.4,89.8,18.0,0.0,0.0032,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
