project_id,financial_anomaly_score,financial_anomaly_percentile,financial_anomaly_flag,primary_reason,secondary_reason,tertiary_reason,peer_cost_deviation_pct,peer_unit_cost_zscore,model_version,mode,scored_at
MPLADS-000019,5.99,20.64,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,-34.36,-0.3,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000020,89.06,98.12,True,Elevated peer-adjusted cost (+307.2% vs peer median for work type),Accelerated disbursement velocity (4.2x peer median disbursement speed),Atypical cost per unit (+760.5% vs peer median rate),307.17,9.7,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000021,14.11,45.86,False,Elevated peer-adjusted cost (+32.4% vs peer median for work type),Consistent contract execution,No significant deviation from SOR rates,32.38,-0.21,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000022,19.39,58.04,False,Financial metrics aligned with peer expectations,Normal peer disbursement pattern,Standard schedule compliance,20.07,-0.25,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000023,7.77,27.72,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,-8.18,-0.8,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000024,81.78,97.5,True,Atypical cost per unit (+1073.5% vs peer median rate),Irregular payment intervals (33.3% timing anomaly rate),Standard schedule compliance,27.34,15.37,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000025,100.0,99.51,True,Accelerated disbursement velocity (2.0x peer median disbursement speed),Atypical cost per unit (+148.3% vs peer median rate),Contract escalation (72.5% value change with 0 amendments),18.82,2.12,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000026,50.01,87.76,False,High unverified disbursement rate (100.0% unverified payments),Normal peer disbursement pattern,Standard schedule compliance,-14.38,-0.53,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000027,3.7,11.16,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,-0.15,-0.69,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000028,29.07,70.92,False,Atypical cost per unit (+1405.1% vs peer median rate),Normal peer disbursement pattern,Standard schedule compliance,13.48,21.65,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000029,14.2,46.22,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,0.17,-0.61,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000030,16.07,50.68,False,Financial metrics aligned with peer expectations,Normal peer disbursement pattern,Standard schedule compliance,20.44,0.31,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000031,18.28,55.74,False,Financial metrics aligned with peer expectations,Normal peer disbursement pattern,Standard schedule compliance,24.71,0.14,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000032,15.51,49.3,False,Atypical cost per unit (+353.5% vs peer median rate),Consistent contract execution,No significant deviation from SOR rates,6.33,5.7,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000033,41.93,82.56,False,Atypical cost per unit (+39.3% vs peer median rate),Normal peer disbursement pattern,Standard schedule compliance,-27.25,0.56,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000034,5.53,18.66,False,Atypical cost per unit (+51.7% vs peer median rate),Consistent contract execution,No significant deviation from SOR rates,9.53,0.72,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000035,9.18,32.3,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,-20.06,-0.64,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000036,52.18,88.84,False,Accelerated disbursement velocity (1.7x peer median disbursement speed),Contract escalation (44.8% value change with 0 amendments),Atypical cost per unit (+63.6% vs peer median rate),7.85,0.88,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000037,52.07,88.78,False,Contract escalation (-6.2% value change with 3 amendments),Irregular payment intervals (33.3% timing anomaly rate),Standard schedule compliance,-10.15,-0.96,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000038,10.67,36.86,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,-15.57,-0.81,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000039,12.0,40.22,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,29.63,-0.08,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000040,2.32,6.18,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,-11.38,0.52,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000041,0.61,1.88,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,13.63,-0.37,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000042,15.58,49.46,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,-23.14,-0.36,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000043,46.09,85.46,False,Financial metrics aligned with peer expectations,Normal peer disbursement pattern,Standard schedule compliance,13.67,-0.12,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000044,6.21,21.68,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,4.18,-0.66,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000045,60.72,92.78,False,Abrupt contract value contraction (-55.0% reduction from original work order),Normal peer disbursement pattern,Standard schedule compliance,19.52,-0.78,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000046,33.67,75.24,False,Atypical cost per unit (+357.5% vs peer median rate),Contract escalation (37.9% value change with 0 amendments),Standard schedule compliance,-12.84,5.76,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000047,10.16,35.26,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,-34.44,-0.95,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000048,4.81,15.48,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,1.9,-0.69,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000049,9.73,33.96,False,Atypical cost per unit (+958.4% vs peer median rate),Consistent contract execution,No significant deviation from SOR rates,13.09,16.18,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000050,15.45,49.18,False,Atypical cost per unit (+158.6% vs peer median rate),Consistent contract execution,No significant deviation from SOR rates,4.24,2.02,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000051,12.91,42.74,False,Atypical cost per unit (+64.6% vs peer median rate),Consistent contract execution,No significant deviation from SOR rates,-30.94,0.87,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000052,33.83,75.4,False,Contract escalation (-6.8% value change with 3 amendments),Normal peer disbursement pattern,Standard schedule compliance,-14.02,-0.66,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000053,16.04,50.58,False,Atypical cost per unit (+224.1% vs peer median rate),Normal peer disbursement pattern,Standard schedule compliance,-15.7,3.14,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000054,36.04,77.54,False,Atypical cost per unit (+316.1% vs peer median rate),Irregular payment intervals (50.0% timing anomaly rate),Standard schedule compliance,0.09,5.49,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000055,96.73,98.7,True,Elevated peer-adjusted cost (+395.0% vs peer median for work type),Accelerated disbursement velocity (4.6x peer median disbursement speed),Atypical cost per unit (+130.8% vs peer median rate),395.04,1.67,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000056,0.36,1.58,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,-27.38,-0.76,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000057,16.54,51.74,False,Atypical cost per unit (+427.2% vs peer median rate),Normal peer disbursement pattern,Standard schedule compliance,-3.76,6.36,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000058,6.2,21.64,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,19.33,-0.25,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000059,26.47,68.54,False,Atypical cost per unit (+77.6% vs peer median rate),Normal peer disbursement pattern,Standard schedule compliance,-23.25,1.35,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000060,13.7,44.74,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,21.54,-0.14,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000061,80.4,97.32,True,Elevated peer-adjusted cost (+415.3% vs peer median for work type),Accelerated disbursement velocity (5.1x peer median disbursement speed),Atypical cost per unit (+813.6% vs peer median rate),415.25,10.71,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000062,6.24,21.82,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,15.34,-0.46,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000063,51.33,88.44,False,Contract escalation (54.4% value change with 0 amendments),Normal peer disbursement pattern,Standard schedule compliance,-3.75,-0.41,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000064,61.66,93.04,False,Contract escalation (-5.7% value change with 4 amendments),Normal peer disbursement pattern,Standard schedule compliance,10.77,-0.36,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000065,88.68,98.08,True,Atypical cost per unit (+147.0% vs peer median rate),Contract escalation (48.7% value change with 0 amendments),Standard schedule compliance,-1.09,2.1,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000066,24.64,66.38,False,Financial metrics aligned with peer expectations,Normal peer disbursement pattern,Standard schedule compliance,-30.47,-0.95,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000067,46.95,86.1,False,Atypical cost per unit (+617.6% vs peer median rate),Abrupt contract value contraction (-41.0% reduction from original work order),Standard schedule compliance,-34.94,7.88,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000068,26.47,68.52,False,Contract escalation (45.5% value change with 0 amendments),Normal peer disbursement pattern,Standard schedule compliance,-29.47,-0.26,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000069,14.78,47.56,False,Atypical cost per unit (+845.2% vs peer median rate),Consistent contract execution,No significant deviation from SOR rates,-17.7,11.83,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000070,42.37,82.76,False,Atypical cost per unit (+722.1% vs peer median rate),Normal peer disbursement pattern,Standard schedule compliance,-11.49,9.23,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000071,60.97,92.92,False,Atypical cost per unit (+1916.0% vs peer median rate),Elevated peer-adjusted cost (+282.0% vs peer median for work type),Accelerated disbursement velocity (3.5x peer median disbursement speed),282.03,28.54,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000072,23.77,65.2,False,High unverified disbursement rate (100.0% unverified payments),Normal peer disbursement pattern,Standard schedule compliance,27.65,-0.14,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000073,38.14,79.62,False,Accelerated disbursement velocity (1.6x peer median disbursement speed),Contract escalation (48.6% value change with 0 amendments),Standard schedule compliance,5.05,0.17,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000074,10.53,36.36,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,-11.81,-0.87,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000075,35.87,77.44,False,Contract escalation (39.1% value change with 0 amendments),Normal peer disbursement pattern,Standard schedule compliance,0.89,0.08,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000076,97.17,98.76,True,Elevated peer-adjusted cost (+393.3% vs peer median for work type),Accelerated disbursement velocity (4.9x peer median disbursement speed),Atypical cost per unit (+170.1% vs peer median rate),393.26,2.58,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000077,1.48,3.78,False,Atypical cost per unit (+170.4% vs peer median rate),Consistent contract execution,No significant deviation from SOR rates,-13.27,2.35,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000078,8.57,30.54,False,Atypical cost per unit (+199.9% vs peer median rate),Consistent contract execution,No significant deviation from SOR rates,-5.39,3.13,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000079,11.68,39.48,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,5.51,-0.4,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000080,16.24,51.06,False,Atypical cost per unit (+234.6% vs peer median rate),Irregular payment intervals (33.3% timing anomaly rate),Standard schedule compliance,2.76,3.62,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000081,5.14,16.96,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,-10.22,-0.74,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000082,9.54,33.24,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,-32.64,-0.47,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000083,32.24,74.02,False,Financial metrics aligned with peer expectations,Normal peer disbursement pattern,Standard schedule compliance,-23.95,-0.61,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000084,41.05,81.94,False,Contract escalation (-7.2% value change with 2 amendments),Normal peer disbursement pattern,Standard schedule compliance,-24.14,-0.55,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000085,1.85,4.86,False,Atypical cost per unit (+55.4% vs peer median rate),Consistent contract execution,No significant deviation from SOR rates,10.02,0.94,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000086,40.9,81.72,False,Atypical cost per unit (+123.0% vs peer median rate),Normal peer disbursement pattern,Standard schedule compliance,6.02,1.6,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000087,7.2,25.36,False,Atypical cost per unit (+557.6% vs peer median rate),Consistent contract execution,No significant deviation from SOR rates,-23.72,8.34,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000088,60.51,92.74,False,High unverified disbursement rate (100.0% unverified payments),Normal peer disbursement pattern,Standard schedule compliance,12.43,-0.7,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000089,8.18,29.3,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,-17.88,-0.82,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000090,38.95,80.06,False,Financial metrics aligned with peer expectations,Normal peer disbursement pattern,Standard schedule compliance,-23.28,-0.46,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000091,8.03,28.78,False,Atypical cost per unit (+153.7% vs peer median rate),Consistent contract execution,No significant deviation from SOR rates,26.77,2.37,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000092,1.93,5.14,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,14.33,-0.62,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000093,14.68,47.22,False,Atypical cost per unit (+767.1% vs peer median rate),Consistent contract execution,No significant deviation from SOR rates,27.99,12.2,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000094,75.88,96.74,True,Elevated peer-adjusted cost (+313.0% vs peer median for work type),Accelerated disbursement velocity (4.2x peer median disbursement speed),Atypical cost per unit (+78.6% vs peer median rate),313.05,1.08,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000095,53.75,89.68,False,Accelerated disbursement velocity (1.8x peer median disbursement speed),Contract escalation (75.1% value change with 0 amendments),Standard schedule compliance,4.56,0.34,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000096,9.8,34.08,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,-30.7,-0.86,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000097,65.87,94.2,False,Abrupt contract value contraction (-56.4% reduction from original work order),Normal peer disbursement pattern,Standard schedule compliance,-17.65,-1.0,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000098,4.15,12.88,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,22.54,0.04,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000099,30.78,72.78,False,Irregular payment intervals (33.3% timing anomaly rate),Normal peer disbursement pattern,Standard schedule compliance,24.22,-0.35,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000100,5.61,18.88,False,Atypical cost per unit (+52.2% vs peer median rate),Consistent contract execution,No significant deviation from SOR rates,6.24,0.78,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000101,0.0,0.51,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,3.78,0.08,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000102,34.12,75.72,False,Financial metrics aligned with peer expectations,Normal peer disbursement pattern,Standard schedule compliance,-8.94,-0.24,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000103,20.39,59.94,False,High unverified disbursement rate (100.0% unverified payments),Atypical cost per unit (+98.4% vs peer median rate),Standard schedule compliance,1.31,1.26,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000104,7.26,25.64,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,-5.89,0.58,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000105,17.74,54.78,False,Financial metrics aligned with peer expectations,Normal peer disbursement pattern,Standard schedule compliance,13.37,0.19,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000106,17.46,53.94,False,Financial metrics aligned with peer expectations,Normal peer disbursement pattern,Standard schedule compliance,13.29,-0.25,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000107,7.79,27.84,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,-29.33,-0.03,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000108,3.99,12.22,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,1.18,-0.46,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000109,16.64,51.94,False,Atypical cost per unit (+438.0% vs peer median rate),Normal peer disbursement pattern,Standard schedule compliance,16.96,6.52,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000110,16.89,52.56,False,Financial metrics aligned with peer expectations,Normal peer disbursement pattern,Standard schedule compliance,-11.98,-0.14,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000111,7.28,25.72,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,-4.92,-0.64,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000112,86.59,97.92,True,Elevated peer-adjusted cost (+354.3% vs peer median for work type),Atypical cost per unit (+1160.5% vs peer median rate),Accelerated disbursement velocity (4.5x peer median disbursement speed),354.33,14.18,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000113,8.6,30.66,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,-5.57,-0.75,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000114,12.81,42.46,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,-17.18,-0.87,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000115,4.71,15.16,False,Atypical cost per unit (+74.5% vs peer median rate),Consistent contract execution,No significant deviation from SOR rates,-20.75,1.04,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000116,21.09,61.08,False,Financial metrics aligned with peer expectations,Normal peer disbursement pattern,Standard schedule compliance,-26.04,-0.63,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000117,5.66,19.02,False,Atypical cost per unit (+152.9% vs peer median rate),Consistent contract execution,No significant deviation from SOR rates,-7.55,1.87,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000118,10.09,35.06,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,17.02,0.24,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000119,53.89,89.78,False,Accelerated disbursement velocity (1.8x peer median disbursement speed),Contract escalation (70.1% value change with 0 amendments),Standard schedule compliance,8.41,0.32,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000120,48.51,86.92,False,Atypical cost per unit (+506.7% vs peer median rate),High unverified disbursement rate (100.0% unverified payments),Irregular payment intervals (33.3% timing anomaly rate),11.67,7.09,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000121,2.9,8.18,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,-19.21,-0.95,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000122,43.76,83.8,False,Contract escalation (3.2% value change with 3 amendments),Normal peer disbursement pattern,Standard schedule compliance,-25.15,-0.88,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000123,4.66,14.88,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,-13.94,0.08,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000124,22.73,63.54,False,Atypical cost per unit (+212.8% vs peer median rate),Normal peer disbursement pattern,Standard schedule compliance,19.69,3.28,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000125,64.65,93.92,False,Atypical cost per unit (+136.8% vs peer median rate),Contract escalation (60.8% value change with 0 amendments),Irregular payment intervals (33.3% timing anomaly rate),-24.13,1.96,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000126,18.07,55.4,False,Financial metrics aligned with peer expectations,Normal peer disbursement pattern,Standard schedule compliance,-26.22,0.4,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000127,80.77,97.36,True,Elevated peer-adjusted cost (+318.4% vs peer median for work type),Accelerated disbursement velocity (4.3x peer median disbursement speed),Atypical cost per unit (+131.0% vs peer median rate),318.43,1.67,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000128,46.13,85.52,False,Elevated peer-adjusted cost (+284.6% vs peer median for work type),Accelerated disbursement velocity (3.6x peer median disbursement speed),Atypical cost per unit (+118.2% vs peer median rate),284.6,1.76,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000129,24.57,66.26,False,Atypical cost per unit (+273.0% vs peer median rate),High unverified disbursement rate (100.0% unverified payments),Standard schedule compliance,15.88,3.67,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000130,20.7,60.5,False,Atypical cost per unit (+332.1% vs peer median rate),Normal peer disbursement pattern,Standard schedule compliance,-29.3,4.65,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000131,37.5,79.12,False,Accelerated disbursement velocity (1.6x peer median disbursement speed),Contract escalation (59.3% value change with 0 amendments),Standard schedule compliance,-0.44,0.03,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
