WORK_ID,MP_NAME,WORK,CATEGORY,STATE,CONSTITUENCY,IDA,CITY,WARD,BLOCK,VILLAGE,RECOMMENDED_DATE,ALLOCATION_AMOUNT,IDA_APPROVAL,STATUS,HOUSE,is_fraud,fraud_type
79723634,MP 0147,NA - construction of drainage system,Normal/Others,Rajasthan,Rajasthan Constituency 147,IDA 0231,,Ward 17,,,2023-05-28,1159037,Action Pending,Ongoing,Rajya Sabha,0,
0209593a,MP 0085,NA - installation of street lights,Normal/Others,Maharashtra,Maharashtra Constituency 85,IDA 0212,,Ward 12,Block 8,Village 51,2023-05-16,167188,Approved by IDA,Unsanctioned,Lok Sabha,0,
a0cd0d7a,MP 0095,NA - repair and renovation of anganwadi center,Normal/Others,Kerala,Kerala Constituency 95,IDA 0012,,Ward 12,Block 12,,2023-12-18,376894,Rejected by IDA,Unsanctioned,Rajya Sabha,0,
3941f0a5,MP 0282,NA - construction of cremation ground shed,Normal/Others,Delhi,Delhi Constituency 282,IDA 0344,,Ward 30,Block 13,,2024-02-04,568852,Rejected by IDA,Ongoing,Lok Sabha,0,
e2d90c18,MP 0142,NA - development of public park,Normal/Others,Chhattisgarh,Chhattisgarh Constituency 142,IDA 0209,,,Block 14,Village 22,2023-09-17,1714512,Rejected by IDA,Ongoing,Rajya Sabha,0,
bbbcd12c,MP 0213,NA - development of public park,Normal/Others,Madhya Pradesh,Madhya Pradesh Constituency 213,IDA 0091,,,Block 12,,2023-09-28,1508223,Approved by IDA,Unsanctioned,Rajya Sabha,0,
f3e492a2,MP 0036,NA - development of public park,Normal/Others,Bihar,Bihar Constituency 36,IDA 0046,,Ward 8,,,2024-01-03,1272394,Approved by IDA,Unsanctioned,Rajya Sabha,0,
f2bd17ff,MP 0295,NA - repair of internal roads,Normal/Others,Kerala,Kerala Constituency 295,IDA 0161,,Ward 18,,Village 56,2023-08-24,1643983,Approved by IDA,Unsanctioned,Lok Sabha,1,vendor_capture
102f2919,MP 0004,NA - construction of public toilet complex,Normal/Others,Karnataka,Karnataka Constituency 4,IDA 0174,,,,,2024-01-10,954795,Approved by IDA,Ongoing,Lok Sabha,1,structuring
e04fc670,MP 0284,NA - installation of solar street lights,Normal/Others,Chhattisgarh,Chhattisgarh Constituency 284,IDA 0340,,,Block 11,Village 46,2023-06-02,435275,Approved by IDA,Completed,Rajya Sabha,0,
e5af05ba,MP 0192,NA - repair and renovation of anganwadi center,Normal/Others,Odisha,Odisha Constituency 192,IDA 0269,,Ward 11,Block 1,,2023-08-03,348558,Action Pending,Unsanctioned,Rajya Sabha,0,
7d35508f,MP 0147,NA - renovation of government school building,Normal/Others,Rajasthan,Rajasthan Constituency 147,IDA 0025,,,Block 15,,2023-08-08,1683900,Action Pending,Unsanctioned,Lok Sabha,0,
b001219c,MP 0006,NA - repair of internal roads,Normal/Others,West Bengal,West Bengal Constituency 6,IDA 0032,,,,Village 62,2023-07-22,619052,Approved by IDA,Unsanctioned,Rajya Sabha,0,
34d06117,MP 0277,NA - repair and renovation of anganwadi center,Normal/Others,Haryana,Haryana Constituency 277,IDA 0102,,,,,2023-04-05,423057,Approved by IDA,Completed,Rajya Sabha,0,
99ea939d,MP 0007,NA - repair of internal roads,Normal/Others,Haryana,Haryana Constituency 7,IDA 0112,,,Block 9,Village 42,2023-08-04,1757810,Approved by IDA,Sanctioned,Lok Sabha,0,
3722bc3d,MP 0246,NA - installation of solar street lights,Normal/Others,Assam,Assam Constituency 246,IDA 0037,,,Block 6,,2023-09-19,416761,Approved by IDA,Unsanctioned,Rajya Sabha,0,
53faa3a6,MP 0223,NA - installation of CCTV surveillance system,Normal/Others,Jharkhand,Jharkhand Constituency 223,IDA 0399,,Ward 9,,,2023-04-08,2146010,Action Pending,Completed,Rajya Sabha,1,overpricing
da8392a5,MP 0284,NA - installation of street lights,Normal/Others,Chhattisgarh,Chhattisgarh Constituency 284,IDA 0336,,,,,2023-11-24,284947,Action Pending,Unsanctioned,Lok Sabha,1,vendor_capture
50e0b226,MP 0112,NA - development of public park,Normal/Others,Punjab,Punjab Constituency 112,IDA 0062,,Ward 2,,,2024-01-03,1548477,Approved by IDA,Ongoing,Lok Sabha,0,
0614fab1,MP 0281,NA - repair of drinking water supply pipeline,Normal/Others,Maharashtra,Maharashtra Constituency 281,IDA 0106,,,Block 9,,2023-09-06,978838,Action Pending,Unsanctioned,Lok Sabha,0,
6cb76cbc,MP 0271,NA - repair of internal roads,Normal/Others,Madhya Pradesh,Madhya Pradesh Constituency 271,IDA 0268,,,,,2023-05-25,1272886,Action Pending,Unsanctioned,Rajya Sabha,0,
b90b412f,MP 0254,NA - construction of cremation ground shed,Normal/Others,Tamil Nadu,Tamil Nadu Constituency 254,IDA 0004,,Ward 17,,,2023-11-06,2432576,Approved by IDA,Sanctioned,Lok Sabha,1,structuring
2fcef8bf,MP 0141,NA - construction of boundary wall for school,Normal/Others,Tamil Nadu,Tamil Nadu Constituency 141,IDA 0399,,,Block 7,,2023-06-03,857912,Action Pending,Sanctioned,Rajya Sabha,0,
dd9a0d3b,MP 0270,NA - repair of internal roads,Normal/Others,Punjab,Punjab Constituency 270,IDA 0193,,,,Village 50,2023-10-16,2391941,Action Pending,Ongoing,Lok Sabha,0,
51641910,MP 0094,NA - installation of hand pumps and borewells,Normal/Others,Punjab,Punjab Constituency 94,IDA 0226,,,Block 2,,2023-10-04,155547,Action Pending,Unsanctioned,Lok Sabha,0,
11a86fd8,MP 0264,NA - repair of drinking water supply pipeline,Normal/Others,Kerala,Kerala Constituency 264,IDA 0280,,,,,2024-03-31,1118635,Action Pending,Unsanctioned,Lok Sabha,0,
8858a199,MP 0197,NA - installation of CCTV surveillance system,Normal/Others,Delhi,Delhi Constituency 197,IDA 0026,,,,Village 83,2023-07-15,560618,Action Pending,Unsanctioned,Lok Sabha,0,
dcc8232c,MP 0038,NA - repair of drinking water supply pipeline,Normal/Others,West Bengal,West Bengal Constituency 38,IDA 0298,,,Block 8,Village 1,2023-12-10,756957,Approved by IDA,Unsanctioned,Rajya Sabha,1,vendor_capture
1f3c8277,MP 0228,NA - repair of internal roads,Normal/Others,Maharashtra,Maharashtra Constituency 228,IDA 0383,,,,,2023-10-12,2365133,Approved by IDA,Unsanctioned,Lok Sabha,0,
45416baf,MP 0033,NA - construction of public toilet complex,Normal/Others,Rajasthan,Rajasthan Constituency 33,IDA 0263,,,,Village 57,2023-12-07,801017,Approved by IDA,Unsanctioned,Lok Sabha,0,
88d0e6db,MP 0000,NA - construction of drainage system,Normal/Others,West Bengal,West Bengal Constituency 0,IDA 0098,,,Block 14,,2024-03-29,869780,Approved by IDA,Completed,Lok Sabha,0,
d8fa720e,MP 0117,NA - construction of community hall,Normal/Others,Tamil Nadu,Tamil Nadu Constituency 117,IDA 0214,,,Block 1,,2023-08-14,3438739,Approved by IDA,Completed,Lok Sabha,1,vendor_capture
e3d44fea,MP 0205,NA - construction of public toilet complex,Normal/Others,Odisha,Odisha Constituency 205,IDA 0038,,,,,2023-11-22,418155,Approved by IDA,Unsanctioned,Lok Sabha,0,
d1c4bcb1,MP 0189,NA - construction of cremation ground shed,Normal/Others,Karnataka,Karnataka Constituency 189,IDA 0089,,,,,2023-09-23,468629,Approved by IDA,Unsanctioned,Rajya Sabha,0,
06968504,MP 0103,NA - construction of public toilet complex,Normal/Others,Gujarat,Gujarat Constituency 103,IDA 0293,,Ward 24,Block 11,,2023-04-06,977696,Action Pending,Completed,Rajya Sabha,1,structuring
6218d06b,MP 0155,NA - construction of drainage system,Normal/Others,Odisha,Odisha Constituency 155,IDA 0178,,Ward 30,Block 13,,2023-05-25,1779566,Approved by IDA,Ongoing,Lok Sabha,1,ghost_project
89e4ef74,MP 0056,NA - installation of solar street lights,Normal/Others,Maharashtra,Maharashtra Constituency 56,IDA 0119,,Ward 3,,,2023-07-01,483872,Approved by IDA,Sanctioned,Rajya Sabha,0,
cd3daf28,MP 0077,NA - installation of hand pumps and borewells,Normal/Others,Assam,Assam Constituency 77,IDA 0068,,Ward 20,,,2024-01-28,141694,Approved by IDA,Unsanctioned,Lok Sabha,0,
21bcfc1f,MP 0154,NA - repair of internal roads,Normal/Others,Uttarakhand,Uttarakhand Constituency 154,IDA 0044,,,,,2023-04-21,1215935,Approved by IDA,Ongoing,Lok Sabha,1,ghost_project
ef4d5e43,MP 0069,NA - installation of solar street lights,Normal/Others,Rajasthan,Rajasthan Constituency 69,IDA 0396,,,Block 8,,2023-06-11,308072,Approved by IDA,Sanctioned,Rajya Sabha,0,
51b2eb21,MP 0076,NA - construction of boundary wall for school,Normal/Others,Tamil Nadu,Tamil Nadu Constituency 76,IDA 0145,,,,,2023-08-25,860075,Approved by IDA,Unsanctioned,Lok Sabha,0,
67aa7034,MP 0152,NA – installation of CCTV surveillance system (Phase 1),Normal/Others,Chhattisgarh,Chhattisgarh Constituency 152,IDA 0246,,,,Village 66,2023-08-05,286737,Action Pending,Unsanctioned,Rajya Sabha,1,duplicate
90abaf91,MP 0108,NA - construction of public toilet complex,Normal/Others,Telangana,Telangana Constituency 108,IDA 0162,,Ward 23,Block 10,Village 82,2023-09-10,545736,Action Pending,Unsanctioned,Lok Sabha,0,
1294b6bd,MP 0226,NA - installation of street lights,Normal/Others,Jharkhand,Jharkhand Constituency 226,IDA 0267,,,Block 7,Village 58,2023-06-13,85382,Approved by IDA,Unsanctioned,Lok Sabha,0,
85b4de06,MP 0177,NA - construction of public toilet complex,Normal/Others,Uttarakhand,Uttarakhand Constituency 177,IDA 0361,,Ward 24,Block 5,,2023-04-15,716989,Approved by IDA,Unsanctioned,Lok Sabha,0,
9c368eee,MP 0091,NA - installation of RO water purification unit,Normal/Others,Delhi,Delhi Constituency 91,IDA 0049,,,Block 11,,2023-09-19,100179,Action Pending,Unsanctioned,Rajya Sabha,0,
f61ffd87,MP 0165,NA - renovation of government school building,Normal/Others,Bihar,Bihar Constituency 165,IDA 0225,,,Block 6,,2024-01-11,756812,Approved by IDA,Sanctioned,Lok Sabha,0,
0e5e765e,MP 0235,NA - construction of boundary wall for school,Normal/Others,Rajasthan,Rajasthan Constituency 235,IDA 0146,,Ward 7,,Village 54,2024-03-29,597223,Action Pending,Sanctioned,Lok Sabha,0,
b4243e13,MP 0211,NA - development of public park,Normal/Others,Rajasthan,Rajasthan Constituency 211,IDA 0093,,,Block 2,,2023-09-16,1540611,Action Pending,Completed,Rajya Sabha,0,
8ecb2093,MP 0002,NA - installation of RO water purification unit,Normal/Others,Gujarat,Gujarat Constituency 2,IDA 0077,,,Block 6,,2023-08-24,328673,Action Pending,Ongoing,Lok Sabha,0,
d6b12571,MP 0179,NA - installation of hand pumps and borewells,Normal/Others,Rajasthan,Rajasthan Constituency 179,IDA 0016,,,Block 8,Village 75,2023-12-10,199546,Approved by IDA,Unsanctioned,Lok Sabha,0,
9dfad373,MP 0017,NA - installation of street lights,Normal/Others,Uttarakhand,Uttarakhand Constituency 17,IDA 0195,,,Block 6,Village 13,2023-08-05,84585,Action Pending,Ongoing,Lok Sabha,0,
4b841e68,MP 0220,NA - installation of street lights,Normal/Others,Rajasthan,Rajasthan Constituency 220,IDA 0354,,Ward 24,Block 3,,2023-08-29,233863,Action Pending,Sanctioned,Lok Sabha,0,
5a6c64a0,MP 0096,NA - installation of street lights,Normal/Others,Assam,Assam Constituency 96,IDA 0072,,Ward 14,,,2023-05-11,125954,Action Pending,Unsanctioned,Lok Sabha,0,
2e818bb8,MP 0268,NA - repair of drinking water supply pipeline,Normal/Others,Jharkhand,Jharkhand Constituency 268,IDA 0138,,,,Village 40,2023-08-16,658703,Action Pending,Unsanctioned,Lok Sabha,0,
5913371d,MP 0056,NA - installation of CCTV surveillance system,Normal/Others,Maharashtra,Maharashtra Constituency 56,IDA 0242,,,,Village 66,2023-10-04,2479317,Approved by IDA,Unsanctioned,Lok Sabha,1,structuring
f702b2e6,MP 0211,NA - construction of boundary wall for school,Normal/Others,Rajasthan,Rajasthan Constituency 211,IDA 0096,,,Block 4,,2023-10-19,622816,Approved by IDA,Unsanctioned,Rajya Sabha,0,
243af5e6,MP 0232,NA - construction of drainage system,Normal/Others,Odisha,Odisha Constituency 232,IDA 0324,,,,,2023-11-09,8057287,Action Pending,Ongoing,Lok Sabha,1,overpricing
421b8a94,MP 0092,NA - construction of drainage system,Normal/Others,Odisha,Odisha Constituency 92,IDA 0331,,,,Village 49,2023-06-17,879171,Approved by IDA,Sanctioned,Lok Sabha,0,
a1628927,MP 0187,NA - construction of boundary wall for school,Normal/Others,Assam,Assam Constituency 187,IDA 0008,,,,Village 2,2023-12-12,493569,Approved by IDA,Unsanctioned,Lok Sabha,0,
1d0fa57d,MP 0070,NA - construction of cremation ground shed,Normal/Others,Gujarat,Gujarat Constituency 70,IDA 0248,,,,,2023-10-13,204748,Action Pending,Unsanctioned,Lok Sabha,0,
1b0a008a,MP 0136,NA - installation of hand pumps and borewells,Normal/Others,Tamil Nadu,Tamil Nadu Constituency 136,IDA 0061,,,,,2024-02-28,169464,Action Pending,Unsanctioned,Rajya Sabha,0,
4a3294b7,MP 0123,NA - construction of cremation ground shed,Normal/Others,Uttarakhand,Uttarakhand Constituency 123,IDA 0123,,,,,2023-08-15,540232,Rejected by IDA,Completed,Lok Sabha,0,
b6c49945,MP 0098,NA - renovation of government school building,Normal/Others,Gujarat,Gujarat Constituency 98,IDA 0115,,Ward 10,Block 6,,2023-10-01,1139539,Action Pending,Unsanctioned,Lok Sabha,0,
79f6e332,MP 0249,NA - construction of public toilet complex,Normal/Others,Maharashtra,Maharashtra Constituency 249,IDA 0227,,,Block 7,,2024-02-16,546807,Action Pending,Unsanctioned,Lok Sabha,0,
33a9e945,MP 0000,NA - development of public park,Normal/Others,West Bengal,West Bengal Constituency 0,IDA 0005,,,,,2023-08-25,1227526,Action Pending,Unsanctioned,Lok Sabha,0,
c715bd78,MP 0274,NA - installation of hand pumps and borewells,Normal/Others,Rajasthan,Rajasthan Constituency 274,IDA 0297,,,Block 7,Village 64,2023-09-13,95647,Action Pending,Sanctioned,Rajya Sabha,0,
3f763470,MP 0193,NA - repair of drinking water supply pipeline,Normal/Others,Uttar Pradesh,Uttar Pradesh Constituency 193,IDA 0242,,,,,2023-05-25,674210,Action Pending,Completed,Lok Sabha,0,
e83d1b97,MP 0205,NA - installation of RO water purification unit,Normal/Others,Odisha,Odisha Constituency 205,IDA 0267,,Ward 18,Block 8,,2023-09-03,334582,Action Pending,Unsanctioned,Lok Sabha,1,vendor_capture
10cda704,MP 0136,NA - repair and renovation of anganwadi center,Normal/Others,Tamil Nadu,Tamil Nadu Constituency 136,IDA 0231,,,,,2023-04-30,399180,Approved by IDA,Sanctioned,Lok Sabha,1,ghost_project
fdbc016c,MP 0246,NA - renovation of government school building,Normal/Others,Assam,Assam Constituency 246,IDA 0360,,,,,2023-06-10,2074808,Action Pending,Unsanctioned,Lok Sabha,1,duplicate
82b41f89,MP 0299,NA - installation of solar street lights,Normal/Others,Delhi,Delhi Constituency 299,IDA 0035,,,,,2023-04-20,308386,Action Pending,Unsanctioned,Rajya Sabha,0,
ad48313d,MP 0179,NA - installation of hand pumps and borewells,Normal/Others,Rajasthan,Rajasthan Constituency 179,IDA 0119,,,,Village 14,2023-08-04,171578,Action Pending,Unsanctioned,Lok Sabha,0,
e6701175,MP 0130,NA - repair of drinking water supply pipeline,Normal/Others,Haryana,Haryana Constituency 130,IDA 0113,,,Block 14,,2024-02-08,1170985,Approved by IDA,Sanctioned,Lok Sabha,0,
f61dcb9b,MP 0119,NA - construction of boundary wall for school,Normal/Others,Uttarakhand,Uttarakhand Constituency 119,IDA 0359,,,,Village 73,2023-06-13,253983,Action Pending,Unsanctioned,Lok Sabha,0,
b3a37fcb,MP 0000,NA - renovation of government school building,Normal/Others,West Bengal,West Bengal Constituency 0,IDA 0381,,,Block 8,,2024-03-19,1907403,Action Pending,Ongoing,Lok Sabha,0,
cf52af7c,MP 0051,NA - development of public park,Normal/Others,Uttarakhand,Uttarakhand Constituency 51,IDA 0066,,,Block 10,Village 58,2023-10-21,500831,Action Pending,Unsanctioned,Rajya Sabha,0,
678b2213,MP 0031,NA - development of public park,Normal/Others,Gujarat,Gujarat Constituency 31,IDA 0224,,Ward 30,Block 13,,2023-08-22,627149,Action Pending,Unsanctioned,Lok Sabha,0,
906d5f95,MP 0188,NA - repair and renovation of anganwadi center,Normal/Others,West Bengal,West Bengal Constituency 188,IDA 0102,,,,,2023-11-03,485806,Approved by IDA,Unsanctioned,Rajya Sabha,0,
67325591,MP 0251,NA - renovation of government school building,Normal/Others,Uttar Pradesh,Uttar Pradesh Constituency 251,IDA 0147,,,,Village 59,2023-05-02,2160637,Approved by IDA,Unsanctioned,Lok Sabha,0,
22140fae,MP 0167,NA - installation of CCTV surveillance system,Normal/Others,Punjab,Punjab Constituency 167,IDA 0196,,Ward 16,,,2024-03-06,434518,Action Pending,Sanctioned,Lok Sabha,0,
d79ba6d9,MP 0201,NA - construction of public toilet complex,Normal/Others,Maharashtra,Maharashtra Constituency 201,IDA 0384,,,,,2023-12-09,665472,Approved by IDA,Unsanctioned,Rajya Sabha,0,
1c55d401,MP 0016,NA - installation of street lights,Normal/Others,Chhattisgarh,Chhattisgarh Constituency 16,IDA 0313,,,Block 1,,2023-04-06,82016,Action Pending,Unsanctioned,Lok Sabha,0,
656c5e19,MP 0212,NA - construction of community hall,Normal/Others,Haryana,Haryana Constituency 212,IDA 0005,,Ward 27,Block 8,,2024-01-27,3635002,Approved by IDA,Unsanctioned,Rajya Sabha,0,
3360f684,MP 0251,NA - repair of internal roads,Normal/Others,Uttar Pradesh,Uttar Pradesh Constituency 251,IDA 0289,,,,Village 51,2023-10-24,605957,Approved by IDA,Unsanctioned,Lok Sabha,1,vendor_capture
90631ee8,MP 0291,NA - construction of boundary wall for school,Normal/Others,Bihar,Bihar Constituency 291,IDA 0195,,,,Village 46,2023-11-30,351534,Approved by IDA,Completed,Lok Sabha,0,
7e648a1b,MP 0217,NA - repair and renovation of anganwadi center,Normal/Others,Karnataka,Karnataka Constituency 217,IDA 0168,,,,,2023-07-09,484016,Approved by IDA,Unsanctioned,Lok Sabha,1,structuring
d0557c33,MP 0072,NA - installation of hand pumps and borewells,Normal/Others,Uttarakhand,Uttarakhand Constituency 72,IDA 0357,,,,,2023-10-17,82990,Approved by IDA,Unsanctioned,Lok Sabha,0,
253827c5,MP 0284,NA - construction of boundary wall for school,Normal/Others,Chhattisgarh,Chhattisgarh Constituency 284,IDA 0328,,Ward 23,Block 7,,2023-04-13,251352,Approved by IDA,Sanctioned,Rajya Sabha,1,ghost_project
b54661f8,MP 0068,NA - development of public park,Normal/Others,Telangana,Telangana Constituency 68,IDA 0027,,,Block 10,,2024-02-24,1649119,Action Pending,Sanctioned,Lok Sabha,0,
